# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24174863e-04   2.36144245e-04   5.13195874e-04   2.51497260e-04   1.47581107e-04
  2.00000000e+00   3.24034034e-04   2.36284464e-04   5.13459378e-04   2.51202101e-04   1.47593869e-04
  4.00000000e+00   3.24180176e-04   2.35710319e-04   5.13976667e-04   2.51370960e-04   1.47821915e-04
  8.00000000e+00   3.23640351e-04   2.35366175e-04   5.13647692e-04   2.51642325e-04   1.47996581e-04
  1.60000000e+01   3.24345122e-04   2.34334686e-04   5.13711848e-04   2.51900407e-04   1.47612610e-04
  3.20000000e+01   3.22476157e-04   2.34744804e-04   5.12579258e-04   2.53535390e-04   1.47824286e-04
  6.40000000e+01   3.23353639e-04   2.36498504e-04   5.10528086e-04   2.52495657e-04   1.48229404e-04
  1.28000000e+02   3.21620777e-04   2.38593905e-04   5.10244545e-04   2.49871982e-04   1.48527753e-04
  2.56000000e+02   3.21169543e-04   2.40507371e-04   5.08379712e-04   2.49781093e-04   1.48952966e-04
  5.12000000e+02   3.25618920e-04   2.40025868e-04   5.12469550e-04   2.51599750e-04   1.48297628e-04
  1.02400000e+03   3.21412637e-04   2.47980780e-04   5.02066568e-04   2.46543953e-04   1.49144585e-04
  2.04800000e+03   3.29307434e-04   2.57288514e-04   5.06189384e-04   2.54976552e-04   1.43551442e-04
  4.09600000e+03   3.36637228e-04   2.58714189e-04   5.07353504e-04   2.58674030e-04   1.41665559e-04
  8.19200000e+03   3.12798797e-04   2.67914820e-04   5.02929670e-04   2.67675558e-04   1.51146901e-04
  1.63840000e+04   3.22865895e-04   2.93892923e-04   5.07619932e-04   2.65486235e-04   1.44386915e-04
  3.27680000e+04   3.27559079e-04   2.85185270e-04   4.63574994e-04   2.31524845e-04   1.43997451e-04
  6.55360000e+04   3.90987957e-04   1.79852029e-04   5.35879373e-04   1.92374083e-04   1.18906286e-04
  1.31072000e+05   4.30037058e-04   1.34306973e-04   6.55026201e-04   1.82868643e-04   1.05025467e-04
