# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   1.00019472e+00   6.66295102e-04   1.99890882e+00   2.01499095e-03   1.61589259e+00   1.91230662e-03   2.99357259e+00   5.85163531e-03
  2.00000000e+00   1.00000110e+00   7.36823828e-04   2.00004367e+00   2.35508211e-03   1.51066949e+00   2.05059044e-03   2.99711623e+00   7.24478422e-03
  3.00000000e+00   9.99877382e-01   8.15672997e-04   2.00058322e+00   2.76270600e-03   1.41723643e+00   2.16601539e-03   3.00299427e+00   9.09539376e-03
  4.00000000e+00   9.99218724e-01   9.03261263e-04   2.00246957e+00   3.33621048e-03   1.33625801e+00   2.34435937e-03   3.00224059e+00   1.18366004e-02
  5.00000000e+00   9.98903479e-01   1.04403298e-03   2.00234752e+00   4.09612840e-03   1.26928791e+00   2.54924165e-03   3.00772447e+00   1.55406756e-02
  6.00000000e+00   9.98330932e-01   1.19422448e-03   2.00298566e+00   5.02117487e-03   1.21221399e+00   2.72825247e-03   3.01222005e+00   2.08561223e-02
  7.00000000e+00   9.98342025e-01   1.34317665e-03   1.99953619e+00   5.99860077e-03   1.16385148e+00   2.99316078e-03   2.98846147e+00   2.81587963e-02
  8.00000000e+00   9.97930507e-01   1.50894010e-03   1.99715967e+00   7.60607994e-03   1.12741640e+00   3.15700008e-03   3.00589209e+00   3.66636385e-02
  9.00000000e+00   9.97401498e-01   1.75845300e-03   2.00065264e+00   9.80380627e-03   1.09653297e+00   3.50181039e-03   2.97419128e+00   5.10941592e-02
  1.00000000e+01   9.98522688e-01   2.05888883e-03   2.00800690e+00   1.20034290e-02   1.07747203e+00   3.78659673e-03   2.99827401e+00   6.63395712e-02
  1.10000000e+01   9.98331282e-01   2.36476410e-03   2.01876482e+00   1.51250738e-02   1.06317617e+00   4.40844197e-03   2.97636881e+00   9.74670797e-02
  1.20000000e+01   9.97370499e-01   2.70124518e-03   2.02508089e+00   2.01170083e-02   1.04474221e+00   5.12083679e-03   2.88469678e+00   1.44254296e-01
  1.30000000e+01   9.97767598e-01   3.04700084e-03   2.00959312e+00   2.54141588e-02   1.03547093e+00   5.47399787e-03   2.88297759e+00   1.96508501e-01
  1.40000000e+01   9.95832919e-01   3.50069267e-03   2.02646813e+00   3.22287120e-02   1.02816286e+00   6.10720138e-03   2.71518625e+00   2.63555050e-01
  1.50000000e+01   9.94192463e-01   4.13323128e-03   1.96987495e+00   4.32157315e-02   1.02020054e+00   7.01939503e-03   2.55294822e+00   3.65186751e-01
  1.60000000e+01   9.94380718e-01   4.64613377e-03   1.91499557e+00   5.49962453e-02   1.01151073e+00   7.79137190e-03   2.56340208e+00   5.06204498e-01
  1.70000000e+01   9.91975348e-01   5.39124577e-03   2.02062343e+00   7.48245711e-02   1.00962194e+00   8.86323122e-03   2.91921508e+00   7.44711330e-01
  1.80000000e+01   9.91880779e-01   6.29375640e-03   1.91756024e+00   9.13384825e-02   1.00153081e+00   1.01569330e-02   2.93365716e+00   1.13521407e+00
