# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24290783e-04   2.29364465e-04   5.36624140e-04   2.30211599e-04   5.85225756e-04
  2.00000000e+00   3.28480260e-04   2.51247956e-04   5.42042398e-04   2.29618108e-04   5.86723678e-04
  4.00000000e+00   3.30663615e-04   2.70414421e-04   5.45157611e-04   2.29119192e-04   5.88187081e-04
  8.00000000e+00   3.32192686e-04   2.82286387e-04   5.46954677e-04   2.28637837e-04   5.88728022e-04
  1.60000000e+01   3.33290400e-04   2.89169770e-04   5.48147137e-04   2.28550841e-04   5.91115161e-04
  3.20000000e+01   3.33040391e-04   2.91452940e-04   5.46772110e-04   2.28988938e-04   5.92312440e-04
  6.40000000e+01   3.33856044e-04   2.90712087e-04   5.50126388e-04   2.29789949e-04   5.91263804e-04
  1.28000000e+02   3.36190306e-04   2.91989935e-04   5.52664307e-04   2.30026113e-04   5.96819075e-04
  2.56000000e+02   3.34722876e-04   2.93846790e-04   5.55209658e-04   2.30239460e-04   5.95284438e-04
  5.12000000e+02   3.37103658e-04   2.95653186e-04   5.54300059e-04   2.32169040e-04   5.94604280e-04
  1.02400000e+03   3.32482557e-04   2.96118802e-04   5.41366684e-04   2.32125417e-04   5.96681616e-04
  2.04800000e+03   3.17647726e-04   3.02740914e-04   5.17217727e-04   2.24971699e-04   5.93475838e-04
  4.09600000e+03   3.12933343e-04   3.23245670e-04   4.98438065e-04   2.26344128e-04   5.95631799e-04
  8.19200000e+03   3.01208330e-04   3.22720614e-04   4.66601318e-04   2.03065144e-04   5.67191177e-04
  1.63840000e+04   3.19813640e-04   3.14795422e-04   4.89805978e-04   1.95106019e-04   5.71278279e-04
  3.27680000e+04   3.75958964e-04   3.62925472e-04   5.66795143e-04   1.95128830e-04   6.29048539e-04
  6.55360000e+04   3.94509094e-04   3.66867785e-04   5.70774038e-04   1.16736804e-04   6.37934821e-04
  1.31072000e+05   4.06924184e-04   2.10902107e-04   5.74554320e-04   1.53353518e-04   7.34555173e-04
