# k  sigma_yc_n1  sigma_yc_n9  sigma_yc_n18  sigma_y2c_n1  sigma_y2c_n9  sigma_y2c_n18  sigma_y3c_n1  sigma_y3c_n9  sigma_y3c_n18  sigma_Ac_n1  sigma_Ac_n9  sigma_Ac_n18
  1.00000000e+00   2.23411164e-04   1.81872365e-04   1.68494353e-04   4.27372555e-04   1.72419910e-04   1.20818132e-04   2.55591372e-03   9.36380973e-04   5.59318709e-04   1.17576460e-03   2.68039016e-04   1.54859733e-04
  2.00000000e+00   2.44547902e-04   1.91281388e-04   1.74350514e-04   4.54757347e-04   1.75870855e-04   1.22049003e-04   2.69608242e-03   9.72764209e-04   5.67459086e-04   1.20794488e-03   2.69059790e-04   1.54919493e-04
  4.00000000e+00   2.63107311e-04   1.98964874e-04   1.78956089e-04   4.79489321e-04   1.78694186e-04   1.22966815e-04   2.82382976e-03   1.00477520e-03   5.73684960e-04   1.23791482e-03   2.69879059e-04   1.55074703e-04
  8.00000000e+00   2.74531059e-04   2.03750568e-04   1.81410864e-04   4.94526304e-04   1.80068145e-04   1.23302065e-04   2.90085690e-03   1.02334030e-03   5.76569779e-04   1.25498750e-03   2.70261829e-04   1.55047614e-04
  1.60000000e+01   2.81259517e-04   2.06595714e-04   1.83156954e-04   5.03599866e-04   1.81238429e-04   1.23739460e-04   2.94801750e-03   1.03611531e-03   5.77909433e-04   1.26581674e-03   2.70398874e-04   1.54828616e-04
  3.20000000e+01   2.83349743e-04   2.07380330e-04   1.83314252e-04   5.05231171e-04   1.80908233e-04   1.23299063e-04   2.95417330e-03   1.03706227e-03   5.76877768e-04   1.26474428e-03   2.71973069e-04   1.54063625e-04
  6.40000000e+01   2.82650759e-04   2.07246321e-04   1.82801567e-04   5.04114585e-04   1.80520194e-04   1.23555301e-04   2.95289033e-03   1.03626693e-03   5.76979011e-04   1.26821121e-03   2.73450742e-04   1.53540531e-04
  1.28000000e+02   2.84042095e-04   2.06955006e-04   1.82249081e-04   5.04090386e-04   1.79875028e-04   1.23247522e-04   2.95035960e-03   1.03487229e-03   5.78005418e-04   1.26713077e-03   2.74391337e-04   1.52424356e-04
  2.56000000e+02   2.85920269e-04   2.08496624e-04   1.81992139e-04   5.09965189e-04   1.81462689e-04   1.23827344e-04   2.97850680e-03   1.04856215e-03   5.78227004e-04   1.27142062e-03   2.73279739e-04   1.53447025e-04
  5.12000000e+02   2.88013212e-04   2.10026272e-04   1.80385441e-04   5.08944781e-04   1.80426148e-04   1.23354412e-04   2.96022436e-03   1.04325098e-03   5.77605989e-04   1.25779342e-03   2.68555281e-04   1.54071794e-04
  1.02400000e+03   2.88209710e-04   2.12534737e-04   1.82462952e-04   4.99525642e-04   1.84254205e-04   1.21646922e-04   2.87946740e-03   1.04725326e-03   5.76323563e-04   1.21106951e-03   2.68463870e-04   1.53280600e-04
  2.04800000e+03   2.93832803e-04   2.15071157e-04   1.81483720e-04   4.94011465e-04   1.85453579e-04   1.18470764e-04   2.83741152e-03   1.05556936e-03   5.62399194e-04   1.18380574e-03   2.79297382e-04   1.48677487e-04
  4.09600000e+03   3.12813017e-04   2.20484420e-04   1.72126916e-04   5.06767634e-04   1.83981827e-04   1.15056149e-04   2.86271171e-03   1.06783859e-03   5.34039111e-04   1.15844582e-03   2.84635712e-04   1.48192040e-04
  8.19200000e+03   3.12097497e-04   2.27914107e-04   1.73962725e-04   4.99378157e-04   1.96484302e-04   1.11453922e-04   2.79613344e-03   1.12124100e-03   5.61682237e-04   1.14375267e-03   2.92916051e-04   1.40453845e-04
  1.63840000e+04   3.02966842e-04   2.22917664e-04   1.81938164e-04   5.01638990e-04   1.90649166e-04   1.14781010e-04   2.83813679e-03   1.07171978e-03   5.48926118e-04   1.16239660e-03   2.94231410e-04   1.47860446e-04
  3.27680000e+04   3.49816380e-04   2.31014723e-04   1.88652848e-04   6.01603603e-04   1.87709211e-04   1.25231793e-04   3.40792769e-03   1.09717300e-03   5.79663060e-04   1.35715236e-03   3.07044604e-04   1.66468996e-04
  6.55360000e+04   3.50444924e-04   2.08483585e-04   1.43869072e-04   5.84103468e-04   1.83381189e-04   1.64856614e-04   3.41539152e-03   1.02372972e-03   4.63055166e-04   1.44279492e-03   3.37684783e-04   1.50266117e-04
  1.31072000e+05   2.07525254e-04   1.45852232e-04   1.12133079e-04   2.20923674e-04   1.72309548e-04   1.94597099e-04   1.04545080e-03   6.65297674e-04   4.20013156e-04   6.30596310e-04   2.25103397e-04   1.44540572e-04
