# observable  mean  sigma_blocking
y  -2.53969989e-04  3.37103658e-04
y2  4.98662138e-01  2.95653186e-04
y3  -3.00339497e-04  5.54300059e-04
A  8.06154858e-05  2.32169040e-04
E  4.97869414e-01  5.94604280e-04
