# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.59184545e-04   3.37302894e-04   7.73926824e-04   3.36387650e-04   1.75145608e-03
  2.00000000e+00   4.59253455e-04   3.68033218e-04   7.73061284e-04   3.34297223e-04   1.78026341e-03
  4.00000000e+00   4.57953888e-04   4.09943229e-04   7.69917966e-04   3.30804741e-04   1.80773414e-03
  8.00000000e+00   4.56324691e-04   4.53285807e-04   7.67431715e-04   3.30404197e-04   1.83302492e-03
  1.60000000e+01   4.56335765e-04   4.84191365e-04   7.65679344e-04   3.28975702e-04   1.84787260e-03
  3.20000000e+01   4.56234963e-04   5.01352068e-04   7.66243488e-04   3.29309772e-04   1.86214309e-03
  6.40000000e+01   4.53345575e-04   5.09683306e-04   7.63863570e-04   3.32231158e-04   1.86388153e-03
  1.28000000e+02   4.56506975e-04   5.12889606e-04   7.72707128e-04   3.33983256e-04   1.85940971e-03
  2.56000000e+02   4.51602324e-04   5.12865353e-04   7.69864287e-04   3.38480111e-04   1.84441078e-03
  5.12000000e+02   4.52757411e-04   5.10404602e-04   7.65291441e-04   3.41611510e-04   1.85457648e-03
  1.02400000e+03   4.55073019e-04   5.11099439e-04   7.61135116e-04   3.37674068e-04   1.85950264e-03
  2.04800000e+03   4.29991110e-04   5.21091289e-04   7.36560578e-04   3.36688454e-04   1.80232344e-03
  4.09600000e+03   4.13204014e-04   5.16226097e-04   7.06876068e-04   3.52204023e-04   1.75077848e-03
  8.19200000e+03   4.25993723e-04   5.07230522e-04   7.53007906e-04   3.45317921e-04   1.65549384e-03
  1.63840000e+04   3.83810471e-04   5.30394776e-04   6.80890151e-04   3.63011540e-04   1.70062145e-03
  3.27680000e+04   4.35303841e-04   5.70206319e-04   7.84282086e-04   3.96140591e-04   1.87036234e-03
  6.55360000e+04   3.20838434e-04   4.73350409e-04   5.74767826e-04   4.84217915e-04   1.75524816e-03
  1.31072000e+05   3.50189412e-04   4.92058422e-04   4.98287360e-04   6.09725614e-04   1.74349090e-03
