# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.86006989e-01   9.27398080e-04   1.97217099e+00   2.58500020e-03   1.72921079e+00   2.76276266e-03   2.96066140e+00   7.41543880e-03
  2.00000000e+00   9.85325426e-01   9.21285442e-04   1.97154773e+00   2.63944138e-03   1.69951578e+00   2.78394011e-03   2.96223872e+00   7.79582811e-03
  3.00000000e+00   9.84473706e-01   9.23714641e-04   1.96945942e+00   2.70032951e-03   1.66837447e+00   2.76103264e-03   2.96042469e+00   8.02132565e-03
  4.00000000e+00   9.83450694e-01   9.28867228e-04   1.96706447e+00   2.74885599e-03   1.63734657e+00   2.74422586e-03   2.95709939e+00   8.31711479e-03
  5.00000000e+00   9.82021004e-01   9.45287426e-04   1.96461888e+00   2.83523207e-03   1.60766239e+00   2.76476930e-03   2.95542836e+00   8.67494466e-03
  6.00000000e+00   9.80534104e-01   9.80951518e-04   1.96238647e+00   2.94436371e-03   1.58019779e+00   2.81049082e-03   2.95856931e+00   9.08692979e-03
  7.00000000e+00   9.79126801e-01   1.02062278e-03   1.95915227e+00   3.02665566e-03   1.55024529e+00   2.80291149e-03   2.95291550e+00   9.44419405e-03
  8.00000000e+00   9.77549503e-01   1.06626840e-03   1.95654887e+00   3.13665171e-03   1.52277897e+00   2.83917740e-03   2.95236220e+00   9.89562314e-03
  9.00000000e+00   9.76002052e-01   1.11657715e-03   1.95224887e+00   3.30055614e-03   1.49391313e+00   2.94800318e-03   2.94624357e+00   1.05737630e-02
  1.00000000e+01   9.74137463e-01   1.17441159e-03   1.94790268e+00   3.46515437e-03   1.46580827e+00   3.06436747e-03   2.93856970e+00   1.13343703e-02
  1.10000000e+01   9.71940156e-01   1.23821304e-03   1.94472938e+00   3.69848426e-03   1.44094999e+00   3.24087330e-03   2.93864527e+00   1.22826832e-02
  1.20000000e+01   9.69805197e-01   1.30033280e-03   1.94123627e+00   3.92049033e-03   1.41541237e+00   3.34914260e-03   2.93348191e+00   1.31611908e-02
  1.30000000e+01   9.67566899e-01   1.36901630e-03   1.93613856e+00   4.14148078e-03   1.38927316e+00   3.45185891e-03   2.92367576e+00   1.39370010e-02
  1.40000000e+01   9.65370128e-01   1.43774044e-03   1.93123738e+00   4.33893777e-03   1.36377070e+00   3.46485054e-03   2.91227114e+00   1.43465811e-02
  1.50000000e+01   9.62808765e-01   1.51313128e-03   1.92600753e+00   4.58391294e-03   1.33984010e+00   3.59540623e-03   2.90387843e+00   1.52717445e-02
  1.60000000e+01   9.60007671e-01   1.60314843e-03   1.92012318e+00   4.85518223e-03   1.31577085e+00   3.71945397e-03   2.89253394e+00   1.64459294e-02
  1.70000000e+01   9.57204254e-01   1.67188323e-03   1.91541695e+00   5.03684981e-03   1.29398627e+00   3.76072484e-03   2.88298520e+00   1.75676126e-02
  1.80000000e+01   9.54563583e-01   1.77937154e-03   1.91045593e+00   5.29424010e-03   1.27374787e+00   3.85778186e-03   2.87734455e+00   1.87803168e-02
  1.90000000e+01   9.51137795e-01   1.87768024e-03   1.90347828e+00   5.61082328e-03   1.25252546e+00   4.06161394e-03   2.86815936e+00   2.05690722e-02
  2.00000000e+01   9.47778146e-01   1.97299052e-03   1.89837783e+00   5.84424468e-03   1.23222173e+00   4.05729012e-03   2.85273854e+00   2.14197471e-02
  2.10000000e+01   9.44533321e-01   2.06407553e-03   1.89200499e+00   6.14606265e-03   1.21411368e+00   4.23341982e-03   2.84805284e+00   2.31474292e-02
  2.20000000e+01   9.41016218e-01   2.18818382e-03   1.88932399e+00   6.50253956e-03   1.19805400e+00   4.29560671e-03   2.85310188e+00   2.43554655e-02
  2.30000000e+01   9.36695026e-01   2.29992627e-03   1.88125340e+00   6.80883140e-03   1.17848571e+00   4.31853852e-03   2.83854164e+00   2.53636850e-02
  2.40000000e+01   9.32316013e-01   2.41054202e-03   1.87156021e+00   7.08813533e-03   1.15776225e+00   4.38752720e-03   2.80879798e+00   2.70011034e-02
  2.50000000e+01   9.28517431e-01   2.52369538e-03   1.86594370e+00   7.59174897e-03   1.14352841e+00   4.59897947e-03   2.81568000e+00   2.94143030e-02
  2.60000000e+01   9.22945755e-01   2.62702520e-03   1.85494808e+00   7.99836234e-03   1.12553446e+00   4.78201305e-03   2.79169201e+00   3.20229568e-02
  2.70000000e+01   9.16975765e-01   2.75726038e-03   1.83984065e+00   8.34772748e-03   1.10492077e+00   4.82907926e-03   2.75005340e+00   3.30794200e-02
  2.80000000e+01   9.11218977e-01   2.92549830e-03   1.82782445e+00   8.87993672e-03   1.08783071e+00   5.05082442e-03   2.72793465e+00   3.54007954e-02
  2.90000000e+01   9.04921994e-01   3.02582725e-03   1.81614627e+00   9.34296671e-03   1.06995851e+00   5.11362243e-03   2.70316110e+00   3.65941854e-02
  3.00000000e+01   8.98027598e-01   3.16390992e-03   1.80113423e+00   9.84368572e-03   1.05260202e+00   5.22153645e-03   2.66505362e+00   3.83904920e-02
  3.10000000e+01   8.90986169e-01   3.29234454e-03   1.78115214e+00   1.01387299e-02   1.03488810e+00   5.25364002e-03   2.62982790e+00   4.04874352e-02
  3.20000000e+01   8.84129230e-01   3.41468583e-03   1.76483278e+00   1.05570058e-02   1.01854215e+00   5.34798835e-03   2.61160043e+00   4.26882050e-02
  3.30000000e+01   8.76389016e-01   3.54587554e-03   1.74858442e+00   1.11042783e-02   1.00161109e+00   5.57597293e-03   2.57579212e+00   4.60475269e-02
  3.40000000e+01   8.67899363e-01   3.67089033e-03   1.73317551e+00   1.15359919e-02   9.86387008e-01   5.57968777e-03   2.56291226e+00   4.80400434e-02
  3.50000000e+01   8.59713583e-01   3.80228840e-03   1.72411299e+00   1.23189515e-02   9.73552978e-01   5.79533231e-03   2.55257949e+00   5.26280425e-02
  3.60000000e+01   8.49648040e-01   3.96359583e-03   1.70224385e+00   1.30128472e-02   9.56513584e-01   6.05559466e-03   2.52439271e+00   5.56827329e-02
  3.70000000e+01   8.39167847e-01   4.09658336e-03   1.67904727e+00   1.35509176e-02   9.40409005e-01   6.26887433e-03   2.50236958e+00   5.96227839e-02
  3.80000000e+01   8.28618569e-01   4.23632280e-03   1.66048999e+00   1.40467980e-02   9.26619471e-01   6.42758423e-03   2.51355517e+00   6.40814707e-02
  3.90000000e+01   8.17357374e-01   4.35736399e-03   1.63541005e+00   1.45270902e-02   9.09442350e-01   6.56227823e-03   2.47636309e+00   6.66804121e-02
  4.00000000e+01   8.05779820e-01   4.52431657e-03   1.61058583e+00   1.53312327e-02   8.91473823e-01   6.61002187e-03   2.46270884e+00   7.07319834e-02
  4.10000000e+01   7.94071485e-01   4.64848774e-03   1.58592609e+00   1.60434871e-02   8.73129284e-01   6.83260724e-03   2.42599506e+00   7.65423741e-02
  4.20000000e+01   7.82183180e-01   4.79920785e-03   1.56517775e+00   1.66436314e-02   8.58632272e-01   7.00822704e-03   2.39177860e+00   8.09459484e-02
  4.30000000e+01   7.68683234e-01   4.95668227e-03   1.54026463e+00   1.73006219e-02   8.41239552e-01   7.14234546e-03   2.38712981e+00   8.52768946e-02
  4.40000000e+01   7.54203828e-01   5.12245599e-03   1.51997841e+00   1.83459787e-02   8.24731106e-01   7.40982226e-03   2.38326549e+00   9.25206206e-02
  4.50000000e+01   7.39156190e-01   5.24960918e-03   1.48472586e+00   1.91034240e-02   7.98977025e-01   7.61239265e-03   2.21742338e+00   9.76147515e-02
  4.60000000e+01   7.22630933e-01   5.43512076e-03   1.45393693e+00   1.97104390e-02   7.77168131e-01   7.79331067e-03   2.11781992e+00   1.02702772e-01
  4.70000000e+01   7.07382713e-01   5.58710691e-03   1.43045883e+00   2.04223240e-02   7.61208331e-01   7.91401793e-03   2.14328721e+00   1.09079095e-01
  4.80000000e+01   6.90060533e-01   5.68491757e-03   1.39947197e+00   2.14180534e-02   7.41756541e-01   7.95700558e-03   2.12026068e+00   1.14186462e-01
  4.90000000e+01   6.74200414e-01   5.86891721e-03   1.36194608e+00   2.19208850e-02   7.21733219e-01   8.06777460e-03   2.10738548e+00   1.18983508e-01
  5.00000000e+01   6.55269353e-01   6.00374351e-03   1.31846642e+00   2.28744143e-02   7.01187493e-01   8.16797144e-03   2.09243974e+00   1.25390637e-01
  5.10000000e+01   6.36073936e-01   6.11314096e-03   1.28039562e+00   2.38005003e-02   6.75002315e-01   8.41017982e-03   1.92965058e+00   1.32153417e-01
  5.20000000e+01   6.17430372e-01   6.25959701e-03   1.24559339e+00   2.46830234e-02   6.56832662e-01   8.68300031e-03   1.92192992e+00   1.41298626e-01
  5.30000000e+01   5.96674851e-01   6.34630631e-03   1.20938085e+00   2.55098820e-02   6.33516287e-01   8.69401131e-03   1.88764148e+00   1.46592145e-01
  5.40000000e+01   5.74699133e-01   6.37583829e-03   1.15358613e+00   2.58651621e-02   6.06565435e-01   8.76813131e-03   1.67676322e+00   1.49774536e-01
  5.50000000e+01   5.51487928e-01   6.41947690e-03   1.10514640e+00   2.68435514e-02   5.81680096e-01   8.82549277e-03   1.64854159e+00   1.55402420e-01
  5.60000000e+01   5.28349469e-01   6.41962358e-03   1.04373644e+00   2.75060121e-02   5.55081591e-01   8.75776176e-03   1.54582904e+00   1.61546208e-01
  5.70000000e+01   5.05617186e-01   6.39431279e-03   9.92659262e-01   2.78702767e-02   5.26443982e-01   8.72879271e-03   1.33265709e+00   1.61135876e-01
