# corr  xi  xi_err  DeltaE  DeltaE_err
yc  3.39388300e+01  1.64477832e-02  8.83943260e-01  4.28385632e-04
y2c  1.64004997e+01  1.15263760e-02  1.82921256e+00  1.28558227e-03
y3c  2.93029848e+01  2.77834890e-02  1.02378649e+00  9.70698410e-04
Ac  1.05888755e+01  1.51148993e-02  2.83316204e+00  4.04414606e-03
