# k  sigma_yc_n1  sigma_yc_n18  sigma_yc_n37  sigma_y2c_n1  sigma_y2c_n18  sigma_y2c_n37  sigma_y3c_n1  sigma_y3c_n18  sigma_y3c_n37  sigma_Ac_n1  sigma_Ac_n18  sigma_Ac_n37
  1.00000000e+00   3.36699804e-04   3.11843997e-04   2.96123058e-04   7.56949336e-04   4.58965367e-04   2.99782297e-04   4.76555204e-03   2.68193735e-03   1.67532792e-03   2.42567384e-03   1.05817395e-03   5.38966630e-04
  2.00000000e+00   3.67121911e-04   3.26595128e-04   3.00132914e-04   8.08762151e-04   4.72315843e-04   3.01589834e-04   5.03769013e-03   2.77759273e-03   1.68736831e-03   2.51396057e-03   1.06930324e-03   5.39035754e-04
  4.00000000e+00   4.08671596e-04   3.47643345e-04   3.06058214e-04   8.82194658e-04   4.92835152e-04   3.05894364e-04   5.43694238e-03   2.92482248e-03   1.71179740e-03   2.65297584e-03   1.09082419e-03   5.42036986e-04
  8.00000000e+00   4.51687117e-04   3.70355620e-04   3.11864288e-04   9.57621433e-04   5.14113412e-04   3.09397165e-04   5.83333283e-03   3.07567668e-03   1.73256257e-03   2.77862171e-03   1.10800745e-03   5.43107652e-04
  1.60000000e+01   4.82398650e-04   3.87387285e-04   3.16761586e-04   1.01418664e-03   5.31357184e-04   3.12651063e-04   6.14288011e-03   3.19832271e-03   1.75724369e-03   2.88661572e-03   1.12585846e-03   5.46184932e-04
  3.20000000e+01   4.99418545e-04   3.96406685e-04   3.20511250e-04   1.04489774e-03   5.38821895e-04   3.14991539e-04   6.30713045e-03   3.25592127e-03   1.76457010e-03   2.94010171e-03   1.13105122e-03   5.47247034e-04
  6.40000000e+01   5.07726037e-04   4.00710660e-04   3.21517049e-04   1.06329682e-03   5.44452145e-04   3.15683877e-04   6.41776504e-03   3.30452055e-03   1.77316679e-03   2.98429548e-03   1.14456736e-03   5.46795915e-04
  1.28000000e+02   5.10895157e-04   4.01004689e-04   3.21274338e-04   1.06783399e-03   5.44292671e-04   3.15190414e-04   6.44664985e-03   3.31260815e-03   1.77470620e-03   2.99491976e-03   1.14377872e-03   5.47678891e-04
  2.56000000e+02   5.10936340e-04   4.03043263e-04   3.21410470e-04   1.05824359e-03   5.39056646e-04   3.13649605e-04   6.38569943e-03   3.28148768e-03   1.75869032e-03   2.96851082e-03   1.13491917e-03   5.43725000e-04
  5.12000000e+02   5.08479225e-04   4.03425506e-04   3.25595391e-04   1.06127715e-03   5.45447114e-04   3.17266755e-04   6.40013515e-03   3.31333650e-03   1.79641418e-03   2.97495423e-03   1.14266030e-03   5.42312079e-04
  1.02400000e+03   5.09042631e-04   3.97903316e-04   3.22269754e-04   1.07001244e-03   5.41784880e-04   3.10823817e-04   6.45969858e-03   3.31099629e-03   1.75477545e-03   3.00872585e-03   1.14680590e-03   5.40606707e-04
  2.04800000e+03   5.18887013e-04   3.97509050e-04   3.29589121e-04   1.07795228e-03   5.36314302e-04   3.08623135e-04   6.51908207e-03   3.29583122e-03   1.72345299e-03   3.04441962e-03   1.15664120e-03   5.57926971e-04
  4.09600000e+03   5.14365463e-04   3.95037530e-04   3.30007948e-04   1.03808950e-03   5.21881750e-04   3.09133241e-04   6.22553638e-03   3.18697402e-03   1.72803120e-03   2.86744013e-03   1.11065713e-03   5.41941310e-04
  8.19200000e+03   5.05112902e-04   3.78337903e-04   3.24219757e-04   1.00691640e-03   5.11655923e-04   3.19671326e-04   5.99627160e-03   3.10506697e-03   1.69013562e-03   2.76006924e-03   1.11971154e-03   5.40296545e-04
  1.63840000e+04   5.28087490e-04   3.69668376e-04   3.16720892e-04   1.07284066e-03   4.90391564e-04   2.93859319e-04   6.36183924e-03   3.11238762e-03   1.57989913e-03   2.87776922e-03   1.04288777e-03   4.97572315e-04
  3.27680000e+04   5.66874872e-04   3.85715215e-04   3.06096905e-04   1.10489445e-03   4.59851054e-04   2.52989369e-04   6.42527713e-03   3.01198909e-03   1.47287550e-03   2.87164683e-03   1.03776198e-03   5.41399351e-04
  6.55360000e+04   4.70360259e-04   2.96071978e-04   2.33297795e-04   1.03347682e-03   4.25306424e-04   2.65697971e-04   6.24503733e-03   2.67556478e-03   1.31150291e-03   2.93746120e-03   9.58164590e-04   4.60661518e-04
  1.31072000e+05   4.89163590e-04   3.18419063e-04   2.52038695e-04   1.15767437e-03   5.57640948e-04   3.29855296e-04   7.42383996e-03   3.66394839e-03   1.66915674e-03   3.72246537e-03   1.33523678e-03   5.06108905e-04
