# observable  mean  sigma_blocking
y  2.60048371e-04  4.52757411e-04
y2  5.06278984e-01  5.10404602e-04
y3  6.59112731e-04  7.65291441e-04
A  2.69040175e-04  3.41611510e-04
E  5.05047989e-01  1.85457648e-03
