# observable  mean  sigma_blocking
y  4.50620632e-05  4.37123297e-04
y2  5.05419630e-01  3.72588041e-04
y3  3.61081734e-04  7.55508264e-04
A  2.93488639e-04  3.43573406e-04
E  5.03353047e-01  7.32026901e-04
