# k  sigma_yc_n1  sigma_yc_n3  sigma_yc_n7  sigma_y2c_n1  sigma_y2c_n3  sigma_y2c_n7  sigma_y3c_n1  sigma_y3c_n3  sigma_y3c_n7  sigma_Ac_n1  sigma_Ac_n3  sigma_Ac_n7
  1.00000000e+00   3.27993381e-04   3.11346574e-04   2.97159779e-04   6.09035308e-04   4.53789359e-04   2.93685718e-04   3.70567382e-03   2.64438668e-03   1.60785927e-03   1.72603496e-03   1.03161479e-03   4.76945897e-04
  2.00000000e+00   3.38753944e-04   3.18031390e-04   2.96732146e-04   6.21185569e-04   4.58984983e-04   2.93905528e-04   3.77007349e-03   2.68264866e-03   1.61190544e-03   1.73805266e-03   1.03584097e-03   4.77488340e-04
  4.00000000e+00   3.47683070e-04   3.23702313e-04   2.96547297e-04   6.32666759e-04   4.64287537e-04   2.94307949e-04   3.83137788e-03   2.71861972e-03   1.61810121e-03   1.75065345e-03   1.03988264e-03   4.78049842e-04
  8.00000000e+00   3.52957804e-04   3.27152977e-04   2.96422619e-04   6.38728792e-04   4.67410024e-04   2.93946346e-04   3.86139378e-03   2.73754280e-03   1.61996639e-03   1.75516619e-03   1.04091294e-03   4.77718263e-04
  1.60000000e+01   3.55242549e-04   3.28682637e-04   2.96720923e-04   6.41634194e-04   4.68854212e-04   2.93015791e-04   3.88021540e-03   2.75044004e-03   1.62049897e-03   1.76175769e-03   1.04418400e-03   4.77442696e-04
  3.20000000e+01   3.55204599e-04   3.28437418e-04   2.95775926e-04   6.41459495e-04   4.68227978e-04   2.93218729e-04   3.87906839e-03   2.74652052e-03   1.61995433e-03   1.76014039e-03   1.04292662e-03   4.78522725e-04
  6.40000000e+01   3.55539643e-04   3.28487756e-04   2.96434600e-04   6.41209093e-04   4.68687972e-04   2.93254101e-04   3.87352008e-03   2.74935900e-03   1.61922905e-03   1.75739934e-03   1.04804126e-03   4.80604226e-04
  1.28000000e+02   3.56832619e-04   3.28386534e-04   2.95390910e-04   6.39849470e-04   4.65980722e-04   2.90599264e-04   3.86420010e-03   2.74007426e-03   1.60900647e-03   1.74937537e-03   1.04191980e-03   4.75432547e-04
  2.56000000e+02   3.61096735e-04   3.31522617e-04   2.96358711e-04   6.47479393e-04   4.69916419e-04   2.91705243e-04   3.90793001e-03   2.76972316e-03   1.62501127e-03   1.75942576e-03   1.04714189e-03   4.78812519e-04
  5.12000000e+02   3.58016469e-04   3.29332307e-04   2.95655304e-04   6.35233328e-04   4.61199809e-04   2.90265985e-04   3.84612058e-03   2.72940414e-03   1.60466503e-03   1.74142270e-03   1.04042226e-03   4.72890250e-04
  1.02400000e+03   3.47454814e-04   3.20033696e-04   2.90672490e-04   6.28013417e-04   4.58396143e-04   2.91106735e-04   3.82211077e-03   2.70319475e-03   1.61018788e-03   1.75614436e-03   1.04173209e-03   4.77721721e-04
  2.04800000e+03   3.42517017e-04   3.15088366e-04   2.84516445e-04   6.28308906e-04   4.59179836e-04   2.90695727e-04   3.81298730e-03   2.69692177e-03   1.58744435e-03   1.74402645e-03   1.02633490e-03   4.72882385e-04
  4.09600000e+03   3.63788137e-04   3.36457061e-04   3.00704491e-04   6.21620936e-04   4.48466882e-04   2.84397221e-04   3.79082628e-03   2.66303354e-03   1.58673577e-03   1.74196726e-03   1.01642121e-03   4.40664990e-04
  8.19200000e+03   3.57895225e-04   3.30684822e-04   3.03514555e-04   6.01372564e-04   4.39255315e-04   2.87560074e-04   3.69773597e-03   2.59421850e-03   1.59614313e-03   1.74016451e-03   1.04152323e-03   4.55156222e-04
  1.63840000e+04   3.50338117e-04   3.18570943e-04   3.05154258e-04   5.73336920e-04   4.32453343e-04   2.97865181e-04   3.45498820e-03   2.46463445e-03   1.58874359e-03   1.62569131e-03   9.99209368e-04   4.39970732e-04
  3.27680000e+04   4.11663088e-04   3.80480095e-04   3.55565953e-04   7.02682731e-04   5.29596526e-04   3.34603898e-04   4.26535792e-03   3.06686482e-03   1.90807205e-03   1.99005489e-03   1.21477201e-03   4.83614721e-04
  6.55360000e+04   4.01017741e-04   3.71363637e-04   3.65885292e-04   6.71281853e-04   4.77743080e-04   2.87635231e-04   4.09789695e-03   2.90061898e-03   1.62649017e-03   1.95708478e-03   1.23559599e-03   4.65456034e-04
  1.31072000e+05   4.61525208e-04   4.31352630e-04   4.23065118e-04   6.36549164e-04   4.47556585e-04   2.97054287e-04   3.83204056e-03   2.76420800e-03   1.60976267e-03   1.67169355e-03   1.08074389e-03   3.80404784e-04
