# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58975295e-04   3.38733296e-04   7.75812769e-04   3.41389010e-04   7.31569117e-04
  2.00000000e+00   4.58366600e-04   3.50951376e-04   7.75087485e-04   3.41407484e-04   7.32443737e-04
  4.00000000e+00   4.48756475e-04   3.60981335e-04   7.61289599e-04   3.40845731e-04   7.32977206e-04
  8.00000000e+00   4.45785375e-04   3.66830548e-04   7.56921706e-04   3.41023733e-04   7.33630281e-04
  1.60000000e+01   4.44151746e-04   3.69529158e-04   7.56623472e-04   3.41945274e-04   7.33637204e-04
  3.20000000e+01   4.43986515e-04   3.69663162e-04   7.56218622e-04   3.42401191e-04   7.32931542e-04
  6.40000000e+01   4.39790075e-04   3.70148902e-04   7.53801149e-04   3.43652165e-04   7.37398651e-04
  1.28000000e+02   4.39553473e-04   3.71982257e-04   7.52692644e-04   3.42284181e-04   7.30909398e-04
  2.56000000e+02   4.42357572e-04   3.76096256e-04   7.62583100e-04   3.42085118e-04   7.34964164e-04
  5.12000000e+02   4.37123297e-04   3.72588041e-04   7.55508264e-04   3.43573406e-04   7.32026901e-04
  1.02400000e+03   4.54305843e-04   3.60607251e-04   7.90571427e-04   3.48184843e-04   7.41894958e-04
  2.04800000e+03   4.63978401e-04   3.55670999e-04   7.98796327e-04   3.43603148e-04   7.69768961e-04
  4.09600000e+03   4.53271104e-04   3.75582450e-04   7.62124001e-04   3.25165977e-04   7.73456260e-04
  8.19200000e+03   4.66163546e-04   3.69050438e-04   7.71481249e-04   2.97992804e-04   7.91956980e-04
  1.63840000e+04   4.74295429e-04   3.55097430e-04   8.19036974e-04   3.06551639e-04   7.61872677e-04
  3.27680000e+04   4.96804344e-04   4.11571665e-04   8.72374665e-04   3.22191683e-04   8.62262445e-04
  6.55360000e+04   5.31307571e-04   3.96999406e-04   8.76414671e-04   3.31411696e-04   8.95628514e-04
  1.31072000e+05   5.00790001e-04   4.57080419e-04   8.00512791e-04   2.05666159e-04   9.44822984e-04
