# corr  xi  xi_err  DeltaE  DeltaE_err
yc  7.00896478e+00  6.47227461e-03  8.56046533e-01  7.90497373e-04
y2c  3.31886260e+00  5.11722282e-03  1.80784827e+00  2.78744966e-03
y3c  6.08179345e+00  1.20074705e-02  9.86551097e-01  1.94777795e-03
Ac  2.16100709e+00  7.25742972e-03  2.77648325e+00  9.32441735e-03
