# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.51666605e-01   3.84566003e-04   4.07993146e-01   7.38058333e-04   1.56568141e+00   4.31252618e-03   5.52824979e-01   1.91857361e-03
  2.00000000e+00   4.08681187e-01   3.79927112e-04   3.34080691e-01   6.67638759e-04   1.32627441e+00   3.86130782e-03   4.09696806e-01   1.62936015e-03
  3.00000000e+00   3.69785359e-01   3.72668442e-04   2.73550118e-01   6.01063729e-04   1.13305810e+00   3.46061637e-03   3.03648032e-01   1.38022565e-03
  4.00000000e+00   3.34579942e-01   3.63651931e-04   2.23963764e-01   5.39268770e-04   9.75393932e-01   3.10547983e-03   2.24914965e-01   1.16691103e-03
  5.00000000e+00   3.02722637e-01   3.53397406e-04   1.83365248e-01   4.82194276e-04   8.45646502e-01   2.78976118e-03   1.66608383e-01   9.86424875e-04
  6.00000000e+00   2.73915671e-01   3.42066812e-04   1.50143357e-01   4.30213266e-04   7.37816515e-01   2.51091959e-03   1.23415958e-01   8.37759767e-04
  7.00000000e+00   2.47852253e-01   3.29919255e-04   1.22950529e-01   3.84367299e-04   6.47330653e-01   2.26542633e-03   9.14217970e-02   7.14409705e-04
  8.00000000e+00   2.24260149e-01   3.16861923e-04   1.00703300e-01   3.43749188e-04   5.70766789e-01   2.04551713e-03   6.78099663e-02   6.08922135e-04
  9.00000000e+00   2.02917458e-01   3.04703828e-04   8.24668473e-02   3.08983305e-04   5.05351952e-01   1.85327527e-03   5.03153463e-02   5.21615610e-04
  1.00000000e+01   1.83595722e-01   2.92461812e-04   6.74963670e-02   2.78681440e-04   4.48872179e-01   1.68009183e-03   3.72474128e-02   4.48727029e-04
  1.10000000e+01   1.66126945e-01   2.81358490e-04   5.52794081e-02   2.53072221e-04   4.00003247e-01   1.52609765e-03   2.75769774e-02   3.89854210e-04
  1.20000000e+01   1.50327087e-01   2.70848785e-04   4.52577783e-02   2.31066408e-04   3.57394930e-01   1.39098058e-03   2.04502068e-02   3.44118945e-04
  1.30000000e+01   1.36034958e-01   2.61304418e-04   3.70700830e-02   2.12343974e-04   3.19907091e-01   1.27163544e-03   1.51193163e-02   3.08237180e-04
  1.40000000e+01   1.23118771e-01   2.52661409e-04   3.03748334e-02   1.95672421e-04   2.86984267e-01   1.16358535e-03   1.11827048e-02   2.76004470e-04
  1.50000000e+01   1.11443734e-01   2.45274156e-04   2.49014225e-02   1.81615911e-04   2.57890478e-01   1.06921292e-03   8.29408341e-03   2.49523378e-04
  1.60000000e+01   1.00869376e-01   2.38055915e-04   2.04285479e-02   1.69514915e-04   2.31993539e-01   9.83213158e-04   6.11201508e-03   2.26353603e-04
  1.70000000e+01   9.12997813e-02   2.32083585e-04   1.67535926e-02   1.60877138e-04   2.08931657e-01   9.11390763e-04   4.50976103e-03   2.11393330e-04
  1.80000000e+01   8.26305729e-02   2.27010865e-04   1.37205814e-02   1.52824911e-04   1.88309766e-01   8.49119704e-04   3.31379362e-03   1.96661384e-04
  1.90000000e+01   7.47994431e-02   2.22686300e-04   1.12448756e-02   1.46187013e-04   1.69903899e-01   7.96594335e-04   2.45131187e-03   1.87278577e-04
  2.00000000e+01   6.77207423e-02   2.19394608e-04   9.19276182e-03   1.40785885e-04   1.53402633e-01   7.56975070e-04   1.83801202e-03   1.80762311e-04
  2.10000000e+01   6.13238515e-02   2.16613814e-04   7.53150257e-03   1.36580236e-04   1.38638087e-01   7.23495667e-04   1.37366239e-03   1.74671426e-04
  2.20000000e+01   5.55291849e-02   2.14308513e-04   6.16011169e-03   1.33352477e-04   1.25255493e-01   6.95645793e-04   9.98970479e-04   1.70924143e-04
  2.30000000e+01   5.03034003e-02   2.12656197e-04   5.04079390e-03   1.30234815e-04   1.13237810e-01   6.69149174e-04   7.33271960e-04   1.66183564e-04
  2.40000000e+01   4.55842676e-02   2.11332746e-04   4.12808093e-03   1.27402765e-04   1.02399579e-01   6.49438779e-04   5.03170727e-04   1.61055882e-04
  2.50000000e+01   4.13193127e-02   2.10299292e-04   3.39005631e-03   1.26396807e-04   9.26193303e-02   6.30575319e-04   3.35270416e-04   1.57230197e-04
  2.60000000e+01   3.74574630e-02   2.10082904e-04   2.80768649e-03   1.25725856e-04   8.37900549e-02   6.12803437e-04   1.76738453e-04   1.53268170e-04
  2.70000000e+01   3.39579262e-02   2.10029579e-04   2.34671181e-03   1.26162171e-04   7.58495639e-02   6.01199102e-04   9.13602463e-05   1.49414452e-04
  2.80000000e+01   3.08000175e-02   2.10227336e-04   1.96543816e-03   1.27554363e-04   6.87218113e-02   5.94098464e-04   2.32852609e-05   1.46609447e-04
  2.90000000e+01   2.79532552e-02   2.11224000e-04   1.64283301e-03   1.28542940e-04   6.23629583e-02   5.90506773e-04  -3.82240748e-05   1.44867245e-04
  3.00000000e+01   2.53927920e-02   2.12291378e-04   1.37333886e-03   1.27961748e-04   5.66054930e-02   5.86242184e-04  -1.02140404e-04   1.42813371e-04
  3.10000000e+01   2.30958613e-02   2.13722363e-04   1.17191962e-03   1.27792430e-04   5.15122387e-02   5.86254555e-04  -1.72936814e-04   1.42855343e-04
  3.20000000e+01   2.10327124e-02   2.15961608e-04   9.85047313e-04   1.28826193e-04   4.69526211e-02   5.88919634e-04  -1.92488667e-04   1.42288138e-04
  3.30000000e+01   1.91781937e-02   2.19462562e-04   8.34633607e-04   1.29455232e-04   4.27572310e-02   5.94912775e-04  -2.20105944e-04   1.40799142e-04
  3.40000000e+01   1.75111714e-02   2.23668884e-04   7.09933313e-04   1.28941455e-04   3.89632287e-02   6.05903089e-04  -2.70607218e-04   1.41491391e-04
  3.50000000e+01   1.59956840e-02   2.28922118e-04   6.08329610e-04   1.28066859e-04   3.56394416e-02   6.15538838e-04  -2.39424663e-04   1.42928516e-04
  3.60000000e+01   1.46506948e-02   2.35113711e-04   5.45070242e-04   1.27197984e-04   3.27361157e-02   6.28209473e-04  -1.77266139e-04   1.45042913e-04
  3.70000000e+01   1.34295523e-02   2.42473809e-04   4.99895921e-04   1.26560271e-04   3.00356939e-02   6.46411795e-04  -1.81943743e-04   1.45329939e-04
  3.80000000e+01   1.23573387e-02   2.50036458e-04   4.50359824e-04   1.26656890e-04   2.77040190e-02   6.62874648e-04  -1.61142806e-04   1.45919781e-04
  3.90000000e+01   1.14066453e-02   2.58639042e-04   3.99237048e-04   1.27501160e-04   2.56223864e-02   6.80188251e-04  -1.39412588e-04   1.47278312e-04
  4.00000000e+01   1.05782511e-02   2.68354018e-04   3.54225407e-04   1.29394294e-04   2.39099412e-02   7.00264234e-04  -1.36563922e-04   1.48181490e-04
  4.10000000e+01   9.86604074e-03   2.78676929e-04   2.91244350e-04   1.31979137e-04   2.22912428e-02   7.22989927e-04  -1.78003913e-04   1.48602506e-04
  4.20000000e+01   9.23286375e-03   2.89007533e-04   2.34104766e-04   1.36195659e-04   2.08925108e-02   7.50064445e-04  -2.10644739e-04   1.49711534e-04
  4.30000000e+01   8.69903743e-03   2.99057707e-04   1.76625438e-04   1.41258963e-04   1.97211733e-02   7.73190169e-04  -2.46026264e-04   1.51136314e-04
  4.40000000e+01   8.23887693e-03   3.09220745e-04   1.14503802e-04   1.47237534e-04   1.87763358e-02   7.96625567e-04  -2.95061783e-04   1.54738381e-04
  4.50000000e+01   7.85028155e-03   3.19110022e-04   4.70501045e-05   1.52918873e-04   1.79983729e-02   8.21153681e-04  -3.26334795e-04   1.59178655e-04
  4.60000000e+01   7.54921998e-03   3.28589210e-04  -1.52736688e-06   1.59496978e-04   1.74193067e-02   8.44107116e-04  -3.19009900e-04   1.66813932e-04
  4.70000000e+01   7.31051950e-03   3.37164500e-04  -2.58560998e-05   1.66935792e-04   1.70503836e-02   8.69564604e-04  -2.51779328e-04   1.78203052e-04
