# k  sigma_yc_n1  sigma_yc_n12  sigma_yc_n25  sigma_y2c_n1  sigma_y2c_n12  sigma_y2c_n25  sigma_y3c_n1  sigma_y3c_n12  sigma_y3c_n25  sigma_Ac_n1  sigma_Ac_n12  sigma_Ac_n25
  1.00000000e+00   2.25998382e-04   1.82921599e-04   1.68915584e-04   4.55450234e-04   1.75984041e-04   1.20132427e-04   2.77152984e-03   9.65582468e-04   5.55966620e-04   1.33278769e-03   2.85132455e-04   1.53595700e-04
  2.00000000e+00   2.64513387e-04   2.02229892e-04   1.79161365e-04   5.11756796e-04   1.85711255e-04   1.21985383e-04   3.06567943e-03   1.04550846e-03   5.72678666e-04   1.41752870e-03   2.91865955e-04   1.53517476e-04
  4.00000000e+00   3.07130110e-04   2.24255635e-04   1.90683669e-04   5.75428917e-04   1.96256681e-04   1.24147849e-04   3.39700614e-03   1.13771324e-03   5.92115295e-04   1.51018067e-03   2.96589892e-04   1.53801563e-04
  8.00000000e+00   3.42420770e-04   2.42600106e-04   2.00551845e-04   6.28041698e-04   2.04495660e-04   1.25951379e-04   3.67147458e-03   1.21453039e-03   6.08733175e-04   1.58602634e-03   3.00962539e-04   1.53584925e-04
  1.60000000e+01   3.63177484e-04   2.53505877e-04   2.06341048e-04   6.57515005e-04   2.09399877e-04   1.27128568e-04   3.82415523e-03   1.25822803e-03   6.17238119e-04   1.62700655e-03   3.02875965e-04   1.53235099e-04
  3.20000000e+01   3.72245522e-04   2.58695002e-04   2.09735094e-04   6.71274464e-04   2.12017249e-04   1.27068817e-04   3.89410107e-03   1.28098876e-03   6.23021215e-04   1.64324572e-03   3.05089451e-04   1.53604123e-04
  6.40000000e+01   3.78400302e-04   2.63070468e-04   2.10956601e-04   6.79167874e-04   2.13802668e-04   1.27250189e-04   3.93146804e-03   1.29538320e-03   6.28008236e-04   1.65167221e-03   3.06102638e-04   1.53592791e-04
  1.28000000e+02   3.81008896e-04   2.63545202e-04   2.12234231e-04   6.81945990e-04   2.13071192e-04   1.27099925e-04   3.95002848e-03   1.29471005e-03   6.26048985e-04   1.65911525e-03   3.06218481e-04   1.53056641e-04
  2.56000000e+02   3.83327979e-04   2.66535866e-04   2.10593691e-04   6.80091595e-04   2.13501376e-04   1.27286225e-04   3.93008746e-03   1.29122382e-03   6.16656688e-04   1.64818122e-03   3.05303333e-04   1.53438844e-04
  5.12000000e+02   3.73971444e-04   2.61438053e-04   2.10436321e-04   6.66835990e-04   2.13815972e-04   1.27174086e-04   3.87056130e-03   1.28711120e-03   6.15157220e-04   1.64388196e-03   3.11808860e-04   1.53511873e-04
  1.02400000e+03   3.85254138e-04   2.68221172e-04   2.09658681e-04   6.76577556e-04   2.09949446e-04   1.24942837e-04   3.91618053e-03   1.27636692e-03   5.91992776e-04   1.64943736e-03   3.07601841e-04   1.54421929e-04
  2.04800000e+03   3.75859700e-04   2.59998838e-04   2.06828586e-04   6.72882380e-04   2.08935882e-04   1.27198229e-04   3.98253219e-03   1.27434003e-03   5.84896220e-04   1.73403953e-03   2.97088914e-04   1.53512807e-04
  4.09600000e+03   3.80672853e-04   2.53315920e-04   2.11611131e-04   6.90379928e-04   1.96115326e-04   1.26773133e-04   4.01574314e-03   1.25947146e-03   6.09203326e-04   1.70082050e-03   2.95658343e-04   1.56503226e-04
  8.19200000e+03   4.03139150e-04   2.70264368e-04   2.24165534e-04   7.00037111e-04   2.00224076e-04   1.21757380e-04   4.10317461e-03   1.31493794e-03   6.16732149e-04   1.73126017e-03   3.09079389e-04   1.55214858e-04
  1.63840000e+04   3.94299276e-04   2.89997466e-04   2.15147507e-04   6.75335914e-04   2.00834669e-04   1.25503861e-04   3.91563198e-03   1.33530649e-03   6.15041903e-04   1.62718174e-03   3.22657030e-04   1.67163489e-04
  3.27680000e+04   4.55639000e-04   3.31806615e-04   2.12044307e-04   8.09393466e-04   2.30191040e-04   1.26878547e-04   4.69087151e-03   1.54095539e-03   6.64163179e-04   1.93538983e-03   3.33728986e-04   1.76002585e-04
  6.55360000e+04   4.13661540e-04   2.83597149e-04   2.10685709e-04   6.70985023e-04   2.14906097e-04   7.73183922e-05   3.55588471e-03   1.29326472e-03   7.02896716e-04   1.27902732e-03   2.91384105e-04   1.81416886e-04
  1.31072000e+05   4.09886199e-04   2.58045576e-04   2.32664912e-04   7.06579575e-04   1.99566471e-04   4.99409188e-05   3.84448096e-03   1.14214261e-03   6.17989033e-04   1.45593770e-03   2.90613695e-04   1.85469107e-04
