# observable  mean  sigma_blocking
y  -3.55879713e-04  3.30972828e-04
y2  4.99178566e-01  3.79708818e-04
y3  -3.95257533e-04  5.51061371e-04
A  1.38562037e-04  2.33478691e-04
E  4.98405935e-01  7.02791350e-04
