# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24417903e-04   2.29586781e-04   5.37339022e-04   2.29501403e-04   6.89170642e-04
  2.00000000e+00   3.35766680e-04   2.68832419e-04   5.54393069e-04   2.33377276e-04   6.93071449e-04
  4.00000000e+00   3.36650853e-04   3.12126435e-04   5.56445882e-04   2.34780504e-04   6.96788642e-04
  8.00000000e+00   3.39148412e-04   3.47918448e-04   5.60002678e-04   2.34683584e-04   6.99876600e-04
  1.60000000e+01   3.40545343e-04   3.68984083e-04   5.62248784e-04   2.34542939e-04   6.99587991e-04
  3.20000000e+01   3.43306461e-04   3.78205335e-04   5.66742205e-04   2.35171122e-04   7.00947506e-04
  6.40000000e+01   3.43750544e-04   3.84606031e-04   5.65770465e-04   2.33486501e-04   6.97640486e-04
  1.28000000e+02   3.41102019e-04   3.87240552e-04   5.61335127e-04   2.33132025e-04   6.99023621e-04
  2.56000000e+02   3.36134622e-04   3.89383237e-04   5.55228126e-04   2.31627825e-04   7.02569756e-04
  5.12000000e+02   3.30972828e-04   3.79708818e-04   5.51061371e-04   2.33478691e-04   7.02791350e-04
  1.02400000e+03   3.35902912e-04   3.91136541e-04   5.56469662e-04   2.30882542e-04   6.92330571e-04
  2.04800000e+03   3.26387317e-04   3.82318572e-04   5.43248771e-04   2.32823471e-04   6.81093660e-04
  4.09600000e+03   3.23546300e-04   3.86735640e-04   5.53017387e-04   2.31855102e-04   6.94568811e-04
  8.19200000e+03   3.36339345e-04   4.09140186e-04   5.78690226e-04   2.27027767e-04   7.18891461e-04
  1.63840000e+04   3.60149231e-04   3.99274009e-04   5.80372101e-04   2.04284487e-04   6.65713493e-04
  3.27680000e+04   3.82285236e-04   4.63383531e-04   6.64409576e-04   2.15041120e-04   6.98099538e-04
  6.55360000e+04   3.91749783e-04   4.19742279e-04   6.04516126e-04   1.59782659e-04   5.61503739e-04
  1.31072000e+05   4.06695939e-04   4.19050832e-04   6.58444192e-04   1.84598559e-04   2.18995205e-04
