# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   1.00008951e+00   8.30661468e-04   1.99867822e+00   2.18513113e-03   1.65947320e+00   2.15323960e-03   2.99624070e+00   6.23265694e-03
  2.00000000e+00   1.00012633e+00   8.62617661e-04   1.99897703e+00   2.40226387e-03   1.57453556e+00   2.16750898e-03   2.99548150e+00   7.20557684e-03
  3.00000000e+00   1.00046885e+00   9.18847025e-04   2.00000579e+00   2.68796188e-03   1.49834116e+00   2.26713463e-03   3.00146848e+00   8.53757941e-03
  4.00000000e+00   1.00058844e+00   9.92908542e-04   2.00004220e+00   2.97982584e-03   1.42739997e+00   2.30004932e-03   3.00076353e+00   9.99315519e-03
  5.00000000e+00   9.99967086e-01   1.07255550e-03   1.99889506e+00   3.38129221e-03   1.36406257e+00   2.39551581e-03   3.00085629e+00   1.20573856e-02
  6.00000000e+00   9.99874758e-01   1.17489358e-03   1.99808479e+00   3.94676202e-03   1.30837950e+00   2.54915309e-03   3.00076504e+00   1.45035650e-02
  7.00000000e+00   1.00026053e+00   1.27821589e-03   1.99603497e+00   4.48313663e-03   1.25876518e+00   2.66560987e-03   2.98774760e+00   1.70987316e-02
  8.00000000e+00   1.00007476e+00   1.43492624e-03   1.99782214e+00   5.26023224e-03   1.21725581e+00   2.83960245e-03   2.98399067e+00   2.06213337e-02
  9.00000000e+00   1.00063108e+00   1.56977548e-03   2.00322588e+00   6.15776948e-03   1.18516954e+00   2.99717254e-03   3.00727659e+00   2.54054130e-02
  1.00000000e+01   9.99839482e-01   1.74753216e-03   1.99673304e+00   7.32962201e-03   1.15265503e+00   3.27428278e-03   3.00601243e+00   3.25079897e-02
  1.10000000e+01   9.99387286e-01   1.93964510e-03   2.00025923e+00   8.46553886e-03   1.12631247e+00   3.40109504e-03   2.98988325e+00   4.00454865e-02
  1.20000000e+01   9.99016054e-01   2.17366773e-03   1.99564300e+00   9.92956802e-03   1.10810804e+00   3.62321012e-03   3.02019914e+00   5.16689316e-02
  1.30000000e+01   9.97623906e-01   2.39190776e-03   1.99195843e+00   1.12460666e-02   1.08603218e+00   3.81729748e-03   3.01604878e+00   6.30857339e-02
  1.40000000e+01   9.96296713e-01   2.66481894e-03   1.98689494e+00   1.34418430e-02   1.06892406e+00   4.27827442e-03   2.98826111e+00   8.09952383e-02
