# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.58437254e-01   3.83177729e-04   4.19747431e-01   7.88710722e-04   1.63064163e+00   4.93560110e-03   5.76459065e-01   2.46894346e-03
  2.00000000e+00   4.15531194e-01   3.78082593e-04   3.44763126e-01   7.18940487e-04   1.38475321e+00   4.45020819e-03   4.29359268e-01   2.14118189e-03
  3.00000000e+00   3.76786228e-01   3.71019266e-04   2.83400842e-01   6.53580373e-04   1.18637891e+00   4.00617403e-03   3.20146445e-01   1.84679212e-03
  4.00000000e+00   3.41830140e-01   3.63513730e-04   2.33159158e-01   5.92753704e-04   1.02459679e+00   3.60256657e-03   2.38829548e-01   1.58671557e-03
  5.00000000e+00   3.10308125e-01   3.55671544e-04   1.92143868e-01   5.37139227e-04   8.92216558e-01   3.23441052e-03   1.78809088e-01   1.35417127e-03
  6.00000000e+00   2.81904328e-01   3.47743281e-04   1.58533011e-01   4.87495971e-04   7.82159236e-01   2.91279775e-03   1.34035744e-01   1.15991373e-03
  7.00000000e+00   2.56320447e-01   3.40629070e-04   1.31069372e-01   4.46838909e-04   6.90256918e-01   2.64980365e-03   1.00828431e-01   1.01253894e-03
  8.00000000e+00   2.33311329e-01   3.34335245e-04   1.08611450e-01   4.12566080e-04   6.12712696e-01   2.42362341e-03   7.60436095e-02   8.86365834e-04
  9.00000000e+00   2.12622448e-01   3.29014330e-04   9.02600161e-02   3.84814080e-04   5.46765054e-01   2.22821765e-03   5.76085560e-02   7.78220444e-04
  1.00000000e+01   1.94079175e-01   3.24463882e-04   7.52158581e-02   3.60506480e-04   4.90382015e-01   2.05541075e-03   4.38169494e-02   6.86982596e-04
  1.10000000e+01   1.77467996e-01   3.20854900e-04   6.29023477e-02   3.40016493e-04   4.41888249e-01   1.91221179e-03   3.34794593e-02   6.10920668e-04
  1.20000000e+01   1.62653985e-01   3.18763243e-04   5.28662962e-02   3.22508922e-04   4.00110706e-01   1.79326068e-03   2.57675439e-02   5.52329617e-04
  1.30000000e+01   1.49469940e-01   3.18257824e-04   4.46703872e-02   3.07611371e-04   3.64019036e-01   1.69915882e-03   1.99970862e-02   5.13556271e-04
  1.40000000e+01   1.37759018e-01   3.20213352e-04   3.79803673e-02   2.98350743e-04   3.32868442e-01   1.62535199e-03   1.56950162e-02   4.79855848e-04
  1.50000000e+01   1.27446287e-01   3.24630067e-04   3.25126067e-02   2.90751488e-04   3.05934123e-01   1.56777487e-03   1.24628938e-02   4.57170366e-04
  1.60000000e+01   1.18404891e-01   3.30749189e-04   2.81136331e-02   2.84333663e-04   2.82630641e-01   1.51121742e-03   9.88563475e-03   4.32918312e-04
  1.70000000e+01   1.10510504e-01   3.37854090e-04   2.45255551e-02   2.80029872e-04   2.62550994e-01   1.46928478e-03   7.95348773e-03   4.13038401e-04
  1.80000000e+01   1.03728354e-01   3.46564530e-04   2.16366294e-02   2.77857636e-04   2.45516383e-01   1.44203838e-03   6.52620584e-03   3.96252584e-04
  1.90000000e+01   9.79884636e-02   3.55906936e-04   1.93388192e-02   2.78335139e-04   2.31268859e-01   1.42545215e-03   5.53383723e-03   3.85954236e-04
  2.00000000e+01   9.32282175e-02   3.65895283e-04   1.75681575e-02   2.81159840e-04   2.19624354e-01   1.41835108e-03   4.78340876e-03   3.80511436e-04
  2.10000000e+01   8.93921940e-02   3.74944349e-04   1.61969592e-02   2.85731791e-04   2.10270562e-01   1.41886451e-03   4.25521573e-03   3.83179789e-04
  2.20000000e+01   8.64395311e-02   3.82899346e-04   1.51595857e-02   2.91567130e-04   2.03112656e-01   1.43090393e-03   3.95225560e-03   3.92732413e-04
  2.30000000e+01   8.43438194e-02   3.89805290e-04   1.44666577e-02   2.98229663e-04   1.98176159e-01   1.44469177e-03   3.85281701e-03   4.06269187e-04
  2.40000000e+01   8.30947578e-02   3.94219728e-04   1.40751803e-02   3.04302570e-04   1.95344006e-01   1.45654999e-03   3.87324585e-03   4.19596421e-04
  2.50000000e+01   8.26849548e-02   3.96521226e-04   1.39335466e-02   3.07383087e-04   1.94513748e-01   1.46656621e-03   3.94322529e-03   4.28131365e-04
