# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58710806e-04   3.37267820e-04   7.73255734e-04   3.37383998e-04   9.76587378e-04
  2.00000000e+00   5.21105850e-04   3.60582022e-04   8.63163488e-04   3.47353345e-04   9.81400020e-04
  4.00000000e+00   5.68058177e-04   3.77057578e-04   9.31204360e-04   3.53282018e-04   9.82490205e-04
  8.00000000e+00   5.92660294e-04   3.85909251e-04   9.67294966e-04   3.57293357e-04   9.85476451e-04
  1.60000000e+01   6.05646227e-04   3.90159863e-04   9.83772921e-04   3.57899515e-04   9.89165194e-04
  3.20000000e+01   6.10881762e-04   3.91556141e-04   9.90587515e-04   3.57888059e-04   9.92327249e-04
  6.40000000e+01   6.14131088e-04   3.94401767e-04   9.96979328e-04   3.58559748e-04   9.94613702e-04
  1.28000000e+02   6.16405880e-04   3.92202823e-04   1.00328450e-03   3.59569159e-04   9.96417050e-04
  2.56000000e+02   6.15934040e-04   3.88860860e-04   1.00044025e-03   3.56872803e-04   9.88248801e-04
  5.12000000e+02   6.37359238e-04   3.83534083e-04   1.03255448e-03   3.53677499e-04   9.74022397e-04
  1.02400000e+03   6.46084241e-04   3.88748391e-04   1.04613286e-03   3.43428089e-04   9.69780813e-04
  2.04800000e+03   6.54951743e-04   4.09059125e-04   1.05944078e-03   3.62916485e-04   9.89106052e-04
  4.09600000e+03   6.79738181e-04   4.21337444e-04   1.08616577e-03   3.78303580e-04   9.53535632e-04
  8.19200000e+03   7.05643454e-04   4.01346994e-04   1.17662153e-03   3.75383475e-04   9.99718784e-04
  1.63840000e+04   7.76959983e-04   4.00793983e-04   1.29194508e-03   3.94315514e-04   1.13972016e-03
  3.27680000e+04   7.47276112e-04   3.34520232e-04   1.27927601e-03   4.61457336e-04   1.10628112e-03
  6.55360000e+04   7.74938407e-04   3.52120995e-04   1.35144932e-03   4.76011264e-04   1.13580334e-03
  1.31072000e+05   9.46206275e-04   4.24487851e-04   1.81709881e-03   4.71351568e-04   7.26436761e-04
