# k  sigma_yc_n1  sigma_yc_n6  sigma_yc_n12  sigma_y2c_n1  sigma_y2c_n6  sigma_y2c_n12  sigma_y3c_n1  sigma_y3c_n6  sigma_y3c_n12  sigma_Ac_n1  sigma_Ac_n6  sigma_Ac_n12
  1.00000000e+00   3.32692902e-04   3.08819872e-04   2.96380227e-04   6.79149029e-04   4.35857004e-04   2.95445300e-04   4.21027121e-03   2.53611729e-03   1.63886066e-03   2.06114403e-03   9.71908197e-04   5.10239093e-04
  2.00000000e+00   3.55212506e-04   3.25243788e-04   3.08889079e-04   7.12650307e-04   4.50498641e-04   3.01576383e-04   4.38782276e-03   2.63038434e-03   1.68652860e-03   2.11322214e-03   9.87693106e-04   5.15637219e-04
  4.00000000e+00   3.71063845e-04   3.35964381e-04   3.16183201e-04   7.34878545e-04   4.59309378e-04   3.04625903e-04   4.50602414e-03   2.68993912e-03   1.71070389e-03   2.14673267e-03   9.95638197e-04   5.15252211e-04
  8.00000000e+00   3.79536276e-04   3.41533087e-04   3.19402206e-04   7.46690814e-04   4.63761307e-04   3.05453008e-04   4.56951374e-03   2.72148355e-03   1.71982722e-03   2.16445291e-03   1.00051714e-03   5.16162391e-04
  1.60000000e+01   3.83623898e-04   3.44271854e-04   3.21280938e-04   7.51661876e-04   4.65737622e-04   3.06442715e-04   4.59779707e-03   2.73620883e-03   1.72553232e-03   2.17149816e-03   1.00194016e-03   5.16778727e-04
  3.20000000e+01   3.85004098e-04   3.44733141e-04   3.21417889e-04   7.53011990e-04   4.66475997e-04   3.07165894e-04   4.60191154e-03   2.74026339e-03   1.72578912e-03   2.17118583e-03   1.00322183e-03   5.17316710e-04
  6.40000000e+01   3.87583225e-04   3.46414748e-04   3.23353335e-04   7.54328391e-04   4.65784191e-04   3.08060613e-04   4.61144047e-03   2.74370173e-03   1.72771576e-03   2.17574139e-03   1.00587224e-03   5.16294818e-04
  1.28000000e+02   3.85205032e-04   3.44622501e-04   3.22035410e-04   7.45640722e-04   4.61156022e-04   3.06899243e-04   4.55076100e-03   2.70416009e-03   1.70921585e-03   2.14331220e-03   9.87803358e-04   5.12421331e-04
  2.56000000e+02   3.81782243e-04   3.41297841e-04   3.17424343e-04   7.34341295e-04   4.54518663e-04   3.08600228e-04   4.49765888e-03   2.67828088e-03   1.69738301e-03   2.12875835e-03   9.91573286e-04   5.13963991e-04
  5.12000000e+02   3.76768927e-04   3.37841247e-04   3.13006498e-04   7.27530732e-04   4.46596103e-04   3.03856719e-04   4.48239111e-03   2.64794012e-03   1.66698644e-03   2.14889960e-03   9.99608863e-04   5.06219589e-04
  1.02400000e+03   3.81671559e-04   3.41810297e-04   3.12704127e-04   7.27563365e-04   4.44835680e-04   3.03566830e-04   4.49718725e-03   2.64540367e-03   1.65270326e-03   2.15818547e-03   1.00918827e-03   4.94739744e-04
  2.04800000e+03   4.01589703e-04   3.59765751e-04   3.25044690e-04   7.52094181e-04   4.53112519e-04   3.03867794e-04   4.58776895e-03   2.66771955e-03   1.65796381e-03   2.16738173e-03   9.92678717e-04   4.92608012e-04
  4.09600000e+03   4.12860577e-04   3.67006005e-04   3.32144620e-04   7.64762565e-04   4.45961777e-04   2.93692973e-04   4.66539685e-03   2.68265339e-03   1.63035538e-03   2.17000975e-03   9.89229880e-04   4.71735480e-04
  8.19200000e+03   3.95262778e-04   3.56347087e-04   3.21710622e-04   7.56573968e-04   4.65555206e-04   3.13056582e-04   4.61769166e-03   2.70791817e-03   1.69489077e-03   2.18805792e-03   9.77048018e-04   4.82770954e-04
  1.63840000e+04   3.94164828e-04   3.52226375e-04   3.20180229e-04   8.05574492e-04   4.74484141e-04   2.91512423e-04   5.02129050e-03   2.81872198e-03   1.68358612e-03   2.44528180e-03   1.02056361e-03   4.82837638e-04
  3.27680000e+04   3.32909195e-04   3.11913007e-04   2.93583352e-04   7.23998457e-04   4.52445267e-04   2.87802856e-04   4.61800983e-03   2.67371659e-03   1.61298117e-03   2.27285915e-03   9.67004795e-04   4.83364419e-04
  6.55360000e+04   3.48346116e-04   3.04287432e-04   3.03058201e-04   7.73481112e-04   4.32969407e-04   3.14566553e-04   4.79762841e-03   2.68772288e-03   1.70283742e-03   2.24750074e-03   9.65792762e-04   4.69416091e-04
  1.31072000e+05   4.19707345e-04   3.58281212e-04   3.57107920e-04   9.28444506e-04   5.44959594e-04   4.11244116e-04   5.88761668e-03   3.45606356e-03   2.37237055e-03   2.83456597e-03   1.25402548e-03   6.14895941e-04
