# corr  xi  xi_err  DeltaE  DeltaE_err
yc  1.14838765e+01  8.60735014e-03  8.70786100e-01  6.52668189e-04
y2c  5.47901346e+00  6.42492234e-03  1.82514609e+00  2.14024331e-03
y3c  9.80031696e+00  1.50583808e-02  1.02037516e+00  1.56782662e-03
Ac  3.54560257e+00  8.95657983e-03  2.82039506e+00  7.12462635e-03
