# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.82657446e-01   8.27947889e-04   1.96795588e+00   2.51489142e-03   1.63451641e+00   2.73612963e-03   2.94610312e+00   8.50025696e-03
  2.00000000e+00   9.78796959e-01   9.04341098e-04   1.95995292e+00   2.87782814e-03   1.54616200e+00   2.80297323e-03   2.93515497e+00   9.84421841e-03
  3.00000000e+00   9.73640458e-01   1.01986850e-03   1.95140996e+00   3.27006757e-03   1.46606580e+00   2.96996777e-03   2.93028426e+00   1.16130229e-02
  4.00000000e+00   9.67481921e-01   1.15979768e-03   1.93476900e+00   3.73937151e-03   1.38345556e+00   3.04394842e-03   2.89431428e+00   1.31025661e-02
  5.00000000e+00   9.59980038e-01   1.29583794e-03   1.92281563e+00   4.36565003e-03   1.31650535e+00   3.25041697e-03   2.88212192e+00   1.56191590e-02
  6.00000000e+00   9.51393420e-01   1.45698909e-03   1.90236105e+00   5.05359736e-03   1.24994474e+00   3.52764771e-03   2.84686153e+00   1.96398150e-02
  7.00000000e+00   9.40546718e-01   1.61287014e-03   1.87949899e+00   5.91044319e-03   1.19167732e+00   3.70692528e-03   2.82113402e+00   2.30544165e-02
  8.00000000e+00   9.28556895e-01   1.76366662e-03   1.85082268e+00   7.03345419e-03   1.13876949e+00   3.95991986e-03   2.77635910e+00   2.72296776e-02
  9.00000000e+00   9.12518558e-01   1.94179549e-03   1.82332488e+00   7.98858279e-03   1.08834484e+00   4.11186770e-03   2.73650417e+00   3.25981831e-02
  1.00000000e+01   8.94759064e-01   2.16385906e-03   1.78778604e+00   9.20566604e-03   1.04127691e+00   4.43484155e-03   2.69088665e+00   3.91986215e-02
  1.10000000e+01   8.71651311e-01   2.40639777e-03   1.73817477e+00   1.04878326e-02   9.93157462e-01   4.85071331e-03   2.61816450e+00   4.92112235e-02
  1.20000000e+01   8.45298520e-01   2.66403582e-03   1.68455216e+00   1.21265231e-02   9.45351117e-01   5.16185560e-03   2.53529243e+00   6.13029177e-02
  1.30000000e+01   8.15893934e-01   2.93993418e-03   1.62241435e+00   1.40508827e-02   8.94588220e-01   5.46267985e-03   2.42243499e+00   7.15379931e-02
  1.40000000e+01   7.78109160e-01   3.26160988e-03   1.55441475e+00   1.58394289e-02   8.43775497e-01   5.67972623e-03   2.30587705e+00   8.73155824e-02
  1.50000000e+01   7.35849673e-01   3.48810904e-03   1.45373301e+00   1.74226268e-02   7.92289034e-01   5.81665512e-03   2.31673368e+00   1.03107534e-01
  1.60000000e+01   6.89994587e-01   3.77146261e-03   1.36538999e+00   1.97503362e-02   7.36955675e-01   6.09330942e-03   2.17472540e+00   1.22792483e-01
  1.70000000e+01   6.33350714e-01   3.99257701e-03   1.25327974e+00   2.21234045e-02   6.70816475e-01   6.56649848e-03   1.97785324e+00   1.40574498e-01
  1.80000000e+01   5.69257488e-01   4.06311045e-03   1.12273272e+00   2.43862601e-02   5.97827546e-01   7.04965092e-03   1.64944895e+00   1.66252306e-01
  1.90000000e+01   4.97993159e-01   4.07523573e-03   9.60264265e-01   2.65535998e-02   5.16623239e-01   7.41648716e-03   1.45728819e+00   1.88506559e-01
  2.00000000e+01   4.20170763e-01   3.80531085e-03   8.12645374e-01   2.79936081e-02   4.35235160e-01   7.23718035e-03   1.17008902e+00   2.00405024e-01
  2.10000000e+01   3.35882576e-01   3.49222146e-03   6.61905048e-01   2.80985228e-02   3.46343129e-01   6.95398594e-03   7.38599431e-01   2.02637221e-01
  2.20000000e+01   2.45435739e-01   3.05243905e-03   4.67865478e-01   2.69312694e-02   2.46044548e-01   6.63591819e-03   2.54825415e-01   1.93684769e-01
  2.30000000e+01   1.49199175e-01   2.22192323e-03   2.74335688e-01   2.28217719e-02   1.43941917e-01   5.72576370e-03  -5.28797746e-02   1.71483610e-01
  2.40000000e+01   4.94395658e-02   1.27713018e-03   1.01136369e-01   1.48527102e-02   4.25929096e-02   3.82615848e-03  -1.79060876e-01   1.16046362e-01
