# k  sigma_yc_n1  sigma_yc_n6  sigma_yc_n12  sigma_y2c_n1  sigma_y2c_n6  sigma_y2c_n12  sigma_y3c_n1  sigma_y3c_n6  sigma_y3c_n12  sigma_Ac_n1  sigma_Ac_n6  sigma_Ac_n12
  1.00000000e+00   2.18393685e-04   1.80782984e-04   1.68877733e-04   3.76393527e-04   1.66922173e-04   1.21707745e-04   2.20527862e-03   8.90992031e-04   5.55601808e-04   9.46797934e-04   2.50667678e-04   1.55859842e-04
  2.00000000e+00   2.27793901e-04   1.86960825e-04   1.75218482e-04   3.86708973e-04   1.69167222e-04   1.22101426e-04   2.25661837e-03   9.12408287e-04   5.67595609e-04   9.54710522e-04   2.51433456e-04   1.55973945e-04
  4.00000000e+00   2.33506660e-04   1.90324220e-04   1.79029546e-04   3.93246731e-04   1.70542380e-04   1.22371691e-04   2.29245238e-03   9.25398163e-04   5.76165038e-04   9.62435570e-04   2.52260699e-04   1.56196554e-04
  8.00000000e+00   2.36603978e-04   1.92492908e-04   1.81303124e-04   3.96155739e-04   1.71378536e-04   1.22626232e-04   2.30689349e-03   9.32340041e-04   5.80480874e-04   9.64630933e-04   2.52044965e-04   1.56087961e-04
  1.60000000e+01   2.37833405e-04   1.93352907e-04   1.81955754e-04   3.97637157e-04   1.71555018e-04   1.22889075e-04   2.31327990e-03   9.36189061e-04   5.82109656e-04   9.64746115e-04   2.51558064e-04   1.55755289e-04
  3.20000000e+01   2.38236813e-04   1.92842952e-04   1.81558589e-04   3.97360920e-04   1.72748819e-04   1.23137890e-04   2.31352232e-03   9.39225221e-04   5.81225550e-04   9.66504418e-04   2.52191030e-04   1.56120960e-04
  6.40000000e+01   2.38677395e-04   1.92570972e-04   1.82183204e-04   3.97033589e-04   1.72304582e-04   1.23167938e-04   2.31139906e-03   9.35295027e-04   5.82182902e-04   9.63406746e-04   2.53107510e-04   1.56249999e-04
  1.28000000e+02   2.39412631e-04   1.95103879e-04   1.82915295e-04   4.00284105e-04   1.73807299e-04   1.23194057e-04   2.33146899e-03   9.43740669e-04   5.88446715e-04   9.70106664e-04   2.53777473e-04   1.56073438e-04
  2.56000000e+02   2.37476910e-04   1.93607394e-04   1.84807725e-04   3.96741968e-04   1.72357833e-04   1.23444212e-04   2.31231531e-03   9.32784549e-04   5.95647300e-04   9.65512906e-04   2.54926725e-04   1.55942727e-04
  5.12000000e+02   2.40056611e-04   1.94210566e-04   1.85645011e-04   3.98114958e-04   1.72589312e-04   1.23829772e-04   2.31457871e-03   9.34808110e-04   5.95251382e-04   9.62372905e-04   2.53545987e-04   1.56867359e-04
  1.02400000e+03   2.39248139e-04   1.91921040e-04   1.89588142e-04   3.98778757e-04   1.70734053e-04   1.24095555e-04   2.31421117e-03   9.22418423e-04   5.91373028e-04   9.50727769e-04   2.44784554e-04   1.55532136e-04
  2.04800000e+03   2.34020807e-04   1.91892178e-04   1.88760422e-04   3.79526791e-04   1.69481841e-04   1.21998851e-04   2.19085072e-03   8.89790493e-04   5.76212916e-04   8.95660900e-04   2.34561884e-04   1.58599616e-04
  4.09600000e+03   2.34373757e-04   1.91458619e-04   1.88028335e-04   3.80842446e-04   1.65623722e-04   1.25251327e-04   2.19040818e-03   8.77013639e-04   5.69689649e-04   9.09483437e-04   2.27972355e-04   1.59883768e-04
  8.19200000e+03   2.50771822e-04   1.97552132e-04   2.04806976e-04   3.99350791e-04   1.82165900e-04   1.27042025e-04   2.25288966e-03   9.23185132e-04   6.38493428e-04   8.77782523e-04   2.41551581e-04   1.55071245e-04
  1.63840000e+04   2.53091777e-04   1.90137307e-04   1.94299112e-04   4.23070425e-04   1.92291932e-04   1.41396328e-04   2.33051219e-03   9.79826443e-04   6.61659698e-04   8.67958257e-04   2.35058946e-04   1.63519643e-04
  3.27680000e+04   2.24710485e-04   2.18078745e-04   2.03413390e-04   4.42075506e-04   1.93663498e-04   1.29058103e-04   2.50123611e-03   1.12084153e-03   6.68199544e-04   9.80609954e-04   2.31477860e-04   1.56937407e-04
  6.55360000e+04   1.37532304e-04   1.71001103e-04   2.19625292e-04   2.48115297e-04   1.67221530e-04   1.36281674e-04   1.48180840e-03   8.39473691e-04   6.27921943e-04   6.94383546e-04   2.45052892e-04   1.88334185e-04
  1.31072000e+05   1.54357447e-04   1.59307230e-04   1.14664445e-04   2.63273968e-04   1.68631579e-04   1.23056375e-04   1.81702478e-03   8.08783964e-04   2.94548741e-04   9.30814206e-04   2.58383922e-04   1.64155549e-04
