# observable  mean  sigma_blocking
y  4.48921140e-04  4.26385149e-04
y2  4.97567009e-01  2.51849963e-04
y3  6.93506508e-04  6.71651586e-04
A  2.01247984e-05  2.34980991e-04
E  4.98470105e-01  4.49098673e-04
