# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   3.24648234e-04   2.29859301e-04   5.36289003e-04   2.30794016e-04   4.59951221e-04
  2.00000000e+00   3.66360260e-04   2.39647003e-04   5.93696668e-04   2.32428655e-04   4.60929086e-04
  4.00000000e+00   3.96816048e-04   2.45766936e-04   6.35811857e-04   2.33292139e-04   4.61124489e-04
  8.00000000e+00   4.12825902e-04   2.48835322e-04   6.57742568e-04   2.33757382e-04   4.60017848e-04
  1.60000000e+01   4.19487404e-04   2.49974483e-04   6.66654645e-04   2.33487118e-04   4.58608138e-04
  3.20000000e+01   4.24073792e-04   2.50382687e-04   6.71039930e-04   2.34355345e-04   4.58420735e-04
  6.40000000e+01   4.27684507e-04   2.50953373e-04   6.77223413e-04   2.35553006e-04   4.58409706e-04
  1.28000000e+02   4.31026089e-04   2.51511051e-04   6.82177570e-04   2.35332950e-04   4.54227667e-04
  2.56000000e+02   4.30114911e-04   2.49637812e-04   6.78848810e-04   2.35544464e-04   4.50884476e-04
  5.12000000e+02   4.26385149e-04   2.51849963e-04   6.71651586e-04   2.34980991e-04   4.49098673e-04
  1.02400000e+03   4.19815267e-04   2.51367635e-04   6.68891742e-04   2.44024699e-04   4.44807133e-04
  2.04800000e+03   4.09534805e-04   2.45793296e-04   6.61760477e-04   2.36079976e-04   4.55165674e-04
  4.09600000e+03   3.89980459e-04   2.47108555e-04   6.19065858e-04   2.28712671e-04   4.50410709e-04
  8.19200000e+03   3.95569059e-04   2.66190323e-04   6.25626810e-04   2.14048071e-04   4.61979523e-04
  1.63840000e+04   4.15126580e-04   2.71981365e-04   6.83513269e-04   2.23522555e-04   5.00328035e-04
  3.27680000e+04   4.03148572e-04   2.38442386e-04   6.68668197e-04   2.21659947e-04   4.98747187e-04
  6.55360000e+04   3.61145903e-04   1.54555218e-04   5.45613509e-04   2.15140416e-04   5.42527396e-04
  1.31072000e+05   3.11050534e-04   1.68507980e-04   4.43098107e-04   2.08254172e-04   7.67523032e-04
