# observable  mean  sigma_blocking
y  -1.96285247e-04  4.66115455e-04
y2  4.96498235e-01  3.47417222e-04
y3  -5.13311802e-04  7.76491786e-04
A  -2.18883931e-04  3.49560523e-04
E  4.96453195e-01  3.98880425e-04
