# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.46054974e-01   1.24882519e-03   1.88831582e+00   4.58663231e-03   1.26590292e+00   3.21120621e-03   2.82881585e+00   1.82073679e-02
  2.00000000e+00   8.88909022e-01   1.89250328e-03   1.77042087e+00   8.36478369e-03   1.04206689e+00   3.96651708e-03   2.63440671e+00   3.79934471e-02
  3.00000000e+00   7.69017775e-01   2.59002355e-03   1.52879178e+00   1.52878741e-02   8.39756535e-01   5.39198800e-03   2.31612791e+00   8.49580039e-02
  4.00000000e+00   5.42280718e-01   3.16141116e-03   1.06466457e+00   2.30706379e-02   5.67971133e-01   6.32974690e-03   1.58077505e+00   1.51536777e-01
  5.00000000e+00   1.98552104e-01   2.35353703e-03   3.82556434e-01   2.38715197e-02   2.00718264e-01   6.05303766e-03   6.11067448e-01   2.06289937e-01
