# lag  C_{y^2}
# # fit_params: A=1.76332772e-02  tau=4.41193458e-01
  0.00000000e+00   1.00000000e+00
  1.00000000e+00   1.82192153e-03
  2.00000000e+00   3.25290996e-04
  3.00000000e+00  -8.91813069e-04
  4.00000000e+00   1.42162451e-03
  5.00000000e+00   1.71467341e-03
  6.00000000e+00  -5.04187767e-04
  7.00000000e+00  -3.92395851e-04
  8.00000000e+00   1.16807560e-03
  9.00000000e+00   1.77408612e-04
  1.00000000e+01   9.89679610e-04
  1.10000000e+01   4.53772816e-04
  1.20000000e+01  -2.77168447e-04
  1.30000000e+01   2.72367917e-04
  1.40000000e+01  -1.27342921e-03
  1.50000000e+01   1.72893989e-04
  1.60000000e+01   1.82332129e-04
  1.70000000e+01  -1.09028752e-03
  1.80000000e+01  -1.30346633e-03
  1.90000000e+01   3.60744047e-04
  2.00000000e+01   4.58550543e-04
  2.10000000e+01  -1.64651250e-03
  2.20000000e+01  -5.65103304e-04
  2.30000000e+01   1.05809761e-03
  2.40000000e+01   6.97558932e-04
  2.50000000e+01   2.31367422e-03
  2.60000000e+01  -9.72335964e-05
  2.70000000e+01   1.07504352e-05
  2.80000000e+01  -1.42682231e-03
  2.90000000e+01   2.51478294e-04
  3.00000000e+01  -1.64851275e-03
  3.10000000e+01   1.70399884e-03
  3.20000000e+01   9.73664638e-04
  3.30000000e+01   1.44420300e-03
  3.40000000e+01  -1.17088531e-03
  3.50000000e+01   4.90500033e-04
  3.60000000e+01   4.83277758e-06
  3.70000000e+01  -3.97626746e-04
  3.80000000e+01   1.00392828e-03
  3.90000000e+01   1.20553396e-03
  4.00000000e+01  -4.76346095e-04
  4.10000000e+01  -1.14016920e-04
  4.20000000e+01   1.11202979e-04
  4.30000000e+01  -6.12292554e-04
  4.40000000e+01   1.10418091e-03
  4.50000000e+01  -9.95975555e-04
  4.60000000e+01  -5.87904966e-04
  4.70000000e+01  -1.07887712e-03
  4.80000000e+01   1.67529117e-03
  4.90000000e+01  -4.43554144e-05
