# corr  xi  xi_err  DeltaE  DeltaE_err
yc  2.97563870e+00  5.16209987e-03  8.06549531e-01  1.39919179e-03
y2c  1.38322827e+00  4.37296844e-03  1.73507153e+00  5.48529351e-03
y3c  2.66381222e+00  1.01465275e-02  9.00964407e-01  3.43179599e-03
Ac  8.87238143e-01  6.87421998e-03  2.70502347e+00  2.09582134e-02
