# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58714712e-04   3.41231911e-04   7.68303791e-04   3.49214912e-04   3.99424371e-04
  2.00000000e+00   4.58303119e-04   3.41531284e-04   7.67973466e-04   3.49414849e-04   3.99098355e-04
  4.00000000e+00   4.57494250e-04   3.41261070e-04   7.66918347e-04   3.49422257e-04   3.98418353e-04
  8.00000000e+00   4.57316562e-04   3.42450954e-04   7.67208084e-04   3.49474195e-04   3.99571444e-04
  1.60000000e+01   4.57903470e-04   3.42588550e-04   7.67412269e-04   3.50038576e-04   3.99201877e-04
  3.20000000e+01   4.59117983e-04   3.42670078e-04   7.70602097e-04   3.50392300e-04   3.99979374e-04
  6.40000000e+01   4.59493802e-04   3.41789171e-04   7.69938593e-04   3.50434493e-04   4.01674524e-04
  1.28000000e+02   4.57359956e-04   3.40760982e-04   7.67809754e-04   3.49111809e-04   3.97552863e-04
  2.56000000e+02   4.54805012e-04   3.44125139e-04   7.63108711e-04   3.51072628e-04   4.01543528e-04
  5.12000000e+02   4.66115455e-04   3.47417222e-04   7.76491786e-04   3.49560523e-04   3.98880425e-04
  1.02400000e+03   4.71539671e-04   3.39417259e-04   7.82558061e-04   3.53495371e-04   4.02117539e-04
  2.04800000e+03   4.68213478e-04   3.40825864e-04   7.81426903e-04   3.52796280e-04   4.16992848e-04
  4.09600000e+03   4.73633097e-04   3.41230940e-04   7.87000761e-04   3.46757377e-04   4.24294006e-04
  8.19200000e+03   4.69182496e-04   3.32559312e-04   7.69685094e-04   3.46551385e-04   4.12694064e-04
  1.63840000e+04   4.18934754e-04   3.17357788e-04   6.51320250e-04   3.16980455e-04   4.09773897e-04
  3.27680000e+04   4.33227201e-04   3.11230668e-04   6.86364898e-04   3.26722225e-04   4.34528446e-04
  6.55360000e+04   2.91765442e-04   2.98470852e-04   6.29685319e-04   3.50829623e-04   4.71047362e-04
  1.31072000e+05   2.49782419e-04   1.98156857e-04   7.26913226e-04   3.84693154e-04   5.18986646e-04
