# k  sigma_yc_n1  sigma_yc_n6  sigma_yc_n12  sigma_y2c_n1  sigma_y2c_n6  sigma_y2c_n12  sigma_y3c_n1  sigma_y3c_n6  sigma_y3c_n12  sigma_Ac_n1  sigma_Ac_n6  sigma_Ac_n12
  1.00000000e+00   4.50980283e-04   3.70389783e-04   3.63968587e-04   5.87188317e-04   2.76830221e-04   2.71026629e-04   3.36335798e-03   1.18079719e-03   1.09057182e-03   1.30814896e-03   3.52607839e-04   3.54176928e-04
  2.00000000e+00   4.51996051e-04   3.70957038e-04   3.64846138e-04   5.89154647e-04   2.76921472e-04   2.71309229e-04   3.37421145e-03   1.18183365e-03   1.09193733e-03   1.31064690e-03   3.51676968e-04   3.54545158e-04
  4.00000000e+00   4.49206319e-04   3.69654510e-04   3.63062237e-04   5.86726033e-04   2.77491593e-04   2.70404799e-04   3.35867313e-03   1.17297368e-03   1.08996691e-03   1.31123259e-03   3.53237308e-04   3.54786506e-04
  8.00000000e+00   4.46173343e-04   3.69598471e-04   3.65257948e-04   5.87240094e-04   2.77157325e-04   2.70598042e-04   3.35197640e-03   1.17164899e-03   1.09634585e-03   1.31015538e-03   3.54955512e-04   3.58144692e-04
  1.60000000e+01   4.47318573e-04   3.73080259e-04   3.69826078e-04   5.85317068e-04   2.75676866e-04   2.72340459e-04   3.34194921e-03   1.18139893e-03   1.09994321e-03   1.30546721e-03   3.55602242e-04   3.55591505e-04
  3.20000000e+01   4.51518620e-04   3.78534961e-04   3.65378061e-04   5.84316534e-04   2.71188583e-04   2.71336754e-04   3.35592218e-03   1.17996918e-03   1.08992582e-03   1.30835421e-03   3.53058166e-04   3.54829416e-04
  6.40000000e+01   4.45724830e-04   3.76787934e-04   3.68943681e-04   5.83696248e-04   2.69477392e-04   2.66751248e-04   3.36018421e-03   1.16140640e-03   1.11857610e-03   1.31152003e-03   3.52789298e-04   3.54863992e-04
  1.28000000e+02   4.50452589e-04   3.83741715e-04   3.61437496e-04   5.80579794e-04   2.72178423e-04   2.66021064e-04   3.32049765e-03   1.13321107e-03   1.13652001e-03   1.27630582e-03   3.55127778e-04   3.67581216e-04
  2.56000000e+02   4.33405838e-04   3.75139383e-04   3.57845653e-04   5.66481179e-04   2.70041641e-04   2.75704389e-04   3.18487070e-03   1.13696493e-03   1.12452617e-03   1.27211228e-03   3.60470208e-04   3.56519829e-04
  5.12000000e+02   3.82354386e-04   3.87046727e-04   3.53214949e-04   5.27244462e-04   2.62877375e-04   2.67104656e-04   2.95076530e-03   1.09769475e-03   1.13940221e-03   1.23354026e-03   3.56356181e-04   3.54469281e-04
  1.02400000e+03   3.78305275e-04   4.17531048e-04   3.60165274e-04   5.16236603e-04   2.80033188e-04   2.71471489e-04   2.85623684e-03   1.13608069e-03   1.19610541e-03   1.20364983e-03   3.78932218e-04   3.30645978e-04
  2.04800000e+03   4.00584717e-04   4.42826759e-04   3.34291773e-04   5.67672870e-04   3.11973645e-04   2.09595747e-04   3.14211447e-03   1.22455261e-03   1.10831041e-03   1.12155936e-03   3.70113664e-04   3.22812587e-04
  4.09600000e+03   4.48198648e-04   3.62277839e-04   3.12789281e-04   5.22160324e-04   3.11090853e-04   2.21112713e-04   3.17042715e-03   1.17284043e-03   1.04378857e-03   1.21666839e-03   3.79336524e-04   2.81473669e-04
  8.19200000e+03   3.88467266e-04   3.80076792e-04   3.85656593e-04   5.02668657e-04   3.16370731e-04   1.69980940e-04   3.43835983e-03   1.33327538e-03   1.41255247e-03   1.35570264e-03   4.13526227e-04   2.80010703e-04
  1.63840000e+04   4.17528084e-04   4.56604944e-04   3.14074841e-04   5.85203091e-04   2.33975432e-04   9.91886229e-05   5.03508548e-03   1.55231422e-03   1.46181726e-03   1.94373609e-03   4.18220994e-04   4.24054872e-04
