# observable  mean  sigma_blocking
y  8.73612792e-04  7.62506411e-04
y2  4.90348970e-01  4.54483206e-04
y3  1.10518721e-03  1.24649326e-03
A  -2.05231977e-04  5.37749348e-04
E  4.89964965e-01  6.04264804e-04
