# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   7.25818429e-04   5.18153910e-04   1.19217128e-03   5.28083109e-04   6.41873740e-04
  2.00000000e+00   7.31265585e-04   5.19874842e-04   1.20117724e-03   5.27440767e-04   6.39514133e-04
  4.00000000e+00   7.34204085e-04   5.17300784e-04   1.20813248e-03   5.29978820e-04   6.40370906e-04
  8.00000000e+00   7.42148727e-04   5.14417125e-04   1.21481481e-03   5.28663232e-04   6.41015374e-04
  1.60000000e+01   7.36199957e-04   5.17999881e-04   1.21632337e-03   5.32749039e-04   6.41906500e-04
  3.20000000e+01   7.54168615e-04   5.26329939e-04   1.24388034e-03   5.32792809e-04   6.36194961e-04
  6.40000000e+01   7.51765692e-04   5.24729206e-04   1.23106704e-03   5.26027303e-04   6.51637021e-04
  1.28000000e+02   7.62796658e-04   5.28131539e-04   1.22139688e-03   5.30085880e-04   6.61492192e-04
  2.56000000e+02   7.69847256e-04   5.05998976e-04   1.23951246e-03   5.27256547e-04   6.28417642e-04
  5.12000000e+02   7.62506411e-04   4.54483206e-04   1.24649326e-03   5.37749348e-04   6.04264804e-04
  1.02400000e+03   7.32856039e-04   4.46549738e-04   1.19095701e-03   5.27993624e-04   6.11027053e-04
  2.04800000e+03   8.21053319e-04   4.58663830e-04   1.28684623e-03   5.21375198e-04   6.12310358e-04
  4.09600000e+03   8.51115048e-04   5.11113686e-04   1.25572002e-03   5.27436399e-04   6.91555752e-04
  8.19200000e+03   5.12071710e-04   5.13689533e-04   6.88062812e-04   5.60897475e-04   7.57510725e-04
  1.63840000e+04   5.27598880e-04   7.59487234e-04   4.61917347e-04   4.25962536e-04   9.03825387e-04
