# k  sigma_yc_n1  sigma_yc_n4  sigma_yc_n9  sigma_y2c_n1  sigma_y2c_n4  sigma_y2c_n9  sigma_y3c_n1  sigma_y3c_n4  sigma_y3c_n9  sigma_Ac_n1  sigma_Ac_n4  sigma_Ac_n9
  1.00000000e+00   3.29821704e-04   3.09518534e-04   2.97244018e-04   6.37282101e-04   4.42122050e-04   2.88677104e-04   3.88001638e-03   2.57883243e-03   1.59636634e-03   1.81832653e-03   1.00293702e-03   5.03535992e-04
  2.00000000e+00   3.39396744e-04   3.14126707e-04   2.97114684e-04   6.50108121e-04   4.46193772e-04   2.88706641e-04   3.94810523e-03   2.61020848e-03   1.59646821e-03   1.83377915e-03   1.00551457e-03   5.03603698e-04
  4.00000000e+00   3.46849711e-04   3.17529127e-04   2.96623196e-04   6.59636867e-04   4.48890728e-04   2.88293900e-04   3.99914067e-03   2.63336745e-03   1.59620780e-03   1.84455936e-03   1.00738102e-03   5.03524256e-04
  8.00000000e+00   3.51380412e-04   3.19747732e-04   2.96299937e-04   6.64254970e-04   4.50046823e-04   2.88173125e-04   4.02372437e-03   2.64441423e-03   1.59426427e-03   1.84935433e-03   1.00807474e-03   5.03871226e-04
  1.60000000e+01   3.53030792e-04   3.20597056e-04   2.96340181e-04   6.66280421e-04   4.50282920e-04   2.87779357e-04   4.03059586e-03   2.64646785e-03   1.59241939e-03   1.84701856e-03   1.00584086e-03   5.03466090e-04
  3.20000000e+01   3.55252120e-04   3.22192430e-04   2.97186973e-04   6.67726734e-04   4.50650379e-04   2.87612201e-04   4.04052341e-03   2.65194483e-03   1.59401710e-03   1.85031667e-03   1.00595216e-03   5.03795998e-04
  6.40000000e+01   3.55412295e-04   3.22055128e-04   2.96251027e-04   6.63873761e-04   4.47969426e-04   2.86695425e-04   4.01409894e-03   2.63498601e-03   1.58542205e-03   1.84006407e-03   1.00750944e-03   5.08879992e-04
  1.28000000e+02   3.55806523e-04   3.20957101e-04   2.94429067e-04   6.60134718e-04   4.45976934e-04   2.85557373e-04   3.99662823e-03   2.62391381e-03   1.57569151e-03   1.83389289e-03   1.00495600e-03   5.07812254e-04
  2.56000000e+02   3.56468873e-04   3.23380681e-04   2.97181479e-04   6.62129677e-04   4.50269830e-04   2.87394592e-04   4.01065554e-03   2.63299140e-03   1.58201033e-03   1.84165939e-03   1.00429876e-03   5.01266890e-04
  5.12000000e+02   3.56522465e-04   3.24871785e-04   2.98009478e-04   6.53171491e-04   4.45557572e-04   2.87526152e-04   3.97314582e-03   2.60642636e-03   1.57585057e-03   1.84065213e-03   1.00604584e-03   4.93145736e-04
  1.02400000e+03   3.54144602e-04   3.22793605e-04   3.01391546e-04   6.44523849e-04   4.47744121e-04   2.87475102e-04   3.94424993e-03   2.62368816e-03   1.57472902e-03   1.84015867e-03   1.02414841e-03   4.82958859e-04
  2.04800000e+03   3.50519261e-04   3.21099342e-04   3.02011973e-04   6.39786685e-04   4.40853795e-04   2.85757441e-04   3.90600048e-03   2.60397176e-03   1.57224614e-03   1.81664397e-03   1.00624193e-03   4.80169434e-04
  4.09600000e+03   3.56557873e-04   3.26691692e-04   3.15695832e-04   6.21929655e-04   4.36415976e-04   2.84505407e-04   3.71058835e-03   2.50497698e-03   1.52358452e-03   1.70434038e-03   9.56025103e-04   4.75747384e-04
  8.19200000e+03   3.78837208e-04   3.40893754e-04   3.29162844e-04   6.38969152e-04   4.51612501e-04   3.01842725e-04   3.82683731e-03   2.62534845e-03   1.63833008e-03   1.73912505e-03   9.89524492e-04   4.68758236e-04
  1.63840000e+04   3.67997908e-04   3.38048083e-04   3.48291535e-04   6.10984594e-04   4.64293821e-04   3.33248463e-04   3.76233024e-03   2.69595565e-03   1.74433160e-03   1.77393956e-03   1.09604642e-03   4.77761548e-04
  3.27680000e+04   3.48035785e-04   3.20889565e-04   3.19373661e-04   6.04435246e-04   4.92323373e-04   3.33449400e-04   3.56349251e-03   2.70900574e-03   1.72079683e-03   1.69118735e-03   1.11960056e-03   4.84642345e-04
  6.55360000e+04   3.00748099e-04   2.45096189e-04   2.51903024e-04   6.77761945e-04   5.32312562e-04   3.77733536e-04   4.09036492e-03   2.86043183e-03   1.78260940e-03   1.86118710e-03   1.08450696e-03   3.66319407e-04
  1.31072000e+05   3.12189297e-04   2.56705142e-04   2.45022796e-04   5.40408886e-04   3.99057002e-04   3.53956739e-04   2.99930491e-03   2.02651830e-03   1.62558220e-03   1.40898911e-03   8.20411085e-04   3.71415471e-04
