# observable  mean  sigma_blocking
y  -4.72076001e-05  4.59544967e-04
y2  5.05343209e-01  3.65861184e-04
y3  9.16175363e-05  7.76906290e-04
A  1.62428936e-04  3.43240051e-04
E  5.06272706e-01  8.41375355e-04
