# corr  xi  xi_err  DeltaE  DeltaE_err
yc  8.35675579e+00  7.03156590e-03  8.61578366e-01  7.24951789e-04
y2c  3.96286197e+00  5.45936135e-03  1.81686873e+00  2.50297462e-03
y3c  7.14882359e+00  1.28255338e-02  1.00715872e+00  1.80691942e-03
Ac  2.58245886e+00  7.92132022e-03  2.78804054e+00  8.55191241e-03
