# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.40790758e-01   3.58766190e-04   3.88565902e-01   7.35820734e-04   1.52747482e+00   4.55682175e-03   5.14581613e-01   2.23226718e-03
  2.00000000e+00   3.84739662e-01   3.50965373e-04   2.96113177e-01   6.47656579e-04   1.22702500e+00   3.94450076e-03   3.42747808e-01   1.82501075e-03
  3.00000000e+00   3.36124582e-01   3.40793265e-04   2.26100096e-01   5.69286779e-04   1.00170712e+00   3.41587468e-03   2.29032290e-01   1.48369622e-03
  4.00000000e+00   2.93991206e-01   3.29874504e-04   1.72987408e-01   5.01556805e-04   8.29187271e-01   2.98077480e-03   1.53321301e-01   1.22057534e-03
  5.00000000e+00   2.57568941e-01   3.19060414e-04   1.32800571e-01   4.44243211e-04   6.95410095e-01   2.61986218e-03   1.03204136e-01   1.01438186e-03
  6.00000000e+00   2.26126382e-01   3.09617001e-04   1.02357455e-01   3.96287833e-04   5.90208972e-01   2.31557226e-03   7.02080118e-02   8.53305844e-04
  7.00000000e+00   1.99029802e-01   3.03083514e-04   7.92897573e-02   3.58124517e-04   5.05845171e-01   2.06502622e-03   4.81385418e-02   7.27025750e-04
  8.00000000e+00   1.75796605e-01   2.98693378e-04   6.18548498e-02   3.28207573e-04   4.37649564e-01   1.87657597e-03   3.33392633e-02   6.33654191e-04
  9.00000000e+00   1.55973874e-01   2.97784143e-04   4.86631223e-02   3.04251646e-04   3.81987392e-01   1.71191823e-03   2.32889180e-02   5.52135720e-04
  1.00000000e+01   1.39141473e-01   2.99253413e-04   3.87003704e-02   2.88734460e-04   3.36713847e-01   1.58748718e-03   1.66618255e-02   4.90473785e-04
  1.10000000e+01   1.24961337e-01   3.03614605e-04   3.12059593e-02   2.78877555e-04   2.99703273e-01   1.50492986e-03   1.21813499e-02   4.51163596e-04
  1.20000000e+01   1.13180014e-01   3.10395058e-04   2.56092338e-02   2.71015303e-04   2.69578904e-01   1.44282623e-03   9.17116819e-03   4.22623036e-04
  1.30000000e+01   1.03594745e-01   3.19002668e-04   2.13961008e-02   2.68430319e-04   2.45419394e-01   1.40609233e-03   7.03287781e-03   3.95169215e-04
  1.40000000e+01   9.59643602e-02   3.29769510e-04   1.83043992e-02   2.70588995e-04   2.26537902e-01   1.39729490e-03   5.65482291e-03   3.78558145e-04
  1.50000000e+01   9.01693666e-02   3.39440386e-04   1.60868192e-02   2.73156933e-04   2.12302275e-01   1.39391865e-03   4.69644459e-03   3.74405786e-04
  1.60000000e+01   8.60973613e-02   3.49024266e-04   1.46207163e-02   2.80229811e-04   2.02444787e-01   1.40219556e-03   4.16244950e-03   3.89210062e-04
  1.70000000e+01   8.36673143e-02   3.56383200e-04   1.37833128e-02   2.84678591e-04   1.96587771e-01   1.41516625e-03   3.90344415e-03   4.08406513e-04
  1.80000000e+01   8.28608889e-02   3.59247775e-04   1.34915962e-02   2.88873505e-04   1.94824636e-01   1.42359515e-03   3.95374905e-03   4.23114466e-04
