# k  sigma_yc_n0  sigma_yc_n1  sigma_y2c_n0  sigma_y2c_n1  sigma_y3c_n0  sigma_y3c_n1  sigma_Ac_n0  sigma_Ac_n1
  1.00000000e+00   3.01840375e-04   3.51308865e-04   3.12835738e-04   3.23466890e-04   1.48081495e-03   1.25107100e-03   5.42946705e-04   4.70336411e-04
  2.00000000e+00   3.01856272e-04   3.51165725e-04   3.12954664e-04   3.23510944e-04   1.48056847e-03   1.25118550e-03   5.42865998e-04   4.70095766e-04
  4.00000000e+00   3.01944419e-04   3.51576115e-04   3.13236367e-04   3.23085619e-04   1.48124105e-03   1.25206389e-03   5.43433386e-04   4.70691033e-04
  8.00000000e+00   3.01870228e-04   3.51666999e-04   3.13870233e-04   3.23097872e-04   1.48244217e-03   1.25322321e-03   5.43129350e-04   4.70230861e-04
  1.60000000e+01   3.01665949e-04   3.51683365e-04   3.13599104e-04   3.21703390e-04   1.48260213e-03   1.24982667e-03   5.42920150e-04   4.69500894e-04
  3.20000000e+01   3.01480589e-04   3.51143785e-04   3.13759968e-04   3.21611966e-04   1.48053301e-03   1.24508280e-03   5.42600562e-04   4.69941755e-04
  6.40000000e+01   2.99695345e-04   3.49968096e-04   3.15406828e-04   3.21123267e-04   1.49362391e-03   1.24603770e-03   5.54813470e-04   4.70231174e-04
  1.28000000e+02   3.00329443e-04   3.53074687e-04   3.17924674e-04   3.22292038e-04   1.50705602e-03   1.25013409e-03   5.61115173e-04   4.73030444e-04
  2.56000000e+02   3.00020066e-04   3.52922619e-04   3.24513667e-04   3.24984456e-04   1.52187228e-03   1.24691696e-03   5.62382623e-04   4.76375391e-04
  5.12000000e+02   2.96405846e-04   3.48200953e-04   3.19803745e-04   3.21820766e-04   1.49883096e-03   1.22923967e-03   5.54248740e-04   4.71971893e-04
  1.02400000e+03   2.91519246e-04   3.49701191e-04   3.14935528e-04   3.17288027e-04   1.48305521e-03   1.23208956e-03   5.46736688e-04   4.67366992e-04
  2.04800000e+03   2.96081091e-04   3.53204472e-04   3.40258030e-04   3.16928229e-04   1.60409788e-03   1.27539796e-03   5.77286132e-04   4.62901996e-04
  4.09600000e+03   2.90028968e-04   3.49990420e-04   3.32169464e-04   3.02442799e-04   1.58976364e-03   1.23186535e-03   5.86735583e-04   4.73604725e-04
  8.19200000e+03   3.00184520e-04   3.46704717e-04   3.36573703e-04   3.03472323e-04   1.67875155e-03   1.25118036e-03   6.43163569e-04   4.75189498e-04
  1.63840000e+04   2.71748094e-04   3.61064524e-04   3.19228568e-04   3.15606222e-04   1.52485722e-03   1.12813210e-03   6.24831936e-04   4.23256450e-04
  3.27680000e+04   3.14050760e-04   3.96740602e-04   3.32190936e-04   3.20448659e-04   1.51767466e-03   1.16794351e-03   5.91409443e-04   4.58843552e-04
  6.55360000e+04   2.23134629e-04   3.96898218e-04   2.82551593e-04   2.27255409e-04   1.49648188e-03   1.07146357e-03   7.14621909e-04   4.40707071e-04
  1.31072000e+05   2.26838302e-04   3.74959531e-04   3.55553849e-04   2.16279757e-04   1.94720046e-03   1.50082350e-03   8.07139309e-04   5.20600530e-04
