# observable  mean  sigma_blocking
y  5.74561644e-05  4.58732393e-04
y2  4.31752354e-01  3.46699625e-04
y3  -5.42859015e-05  7.11204279e-04
A  -1.40470148e-04  3.92280797e-04
E  4.31649681e-01  1.57792219e-04
