# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58996182e-04   3.51559698e-04   7.01542963e-04   3.83227948e-04   1.60580253e-04
  2.00000000e+00   4.59461047e-04   3.51174807e-04   7.02398269e-04   3.83443970e-04   1.60585274e-04
  4.00000000e+00   4.59181788e-04   3.50582125e-04   7.02777481e-04   3.83594825e-04   1.60701112e-04
  8.00000000e+00   4.59447177e-04   3.50785146e-04   7.03177761e-04   3.83606138e-04   1.60606521e-04
  1.60000000e+01   4.59346002e-04   3.50250750e-04   7.04891390e-04   3.83874975e-04   1.60575390e-04
  3.20000000e+01   4.59400689e-04   3.49642075e-04   7.04456301e-04   3.85958395e-04   1.60630549e-04
  6.40000000e+01   4.58975418e-04   3.49896057e-04   7.06583231e-04   3.87302832e-04   1.59623491e-04
  1.28000000e+02   4.62395151e-04   3.53702339e-04   7.11445635e-04   3.93491572e-04   1.59588090e-04
  2.56000000e+02   4.56676077e-04   3.51703135e-04   7.02227990e-04   3.98073357e-04   1.59478891e-04
  5.12000000e+02   4.58732393e-04   3.46699625e-04   7.11204279e-04   3.92280797e-04   1.57792219e-04
  1.02400000e+03   4.62369167e-04   3.35897934e-04   7.30020325e-04   3.95083003e-04   1.55868083e-04
  2.04800000e+03   4.38762646e-04   3.41128978e-04   7.16990805e-04   4.05957651e-04   1.57494120e-04
  4.09600000e+03   4.48071513e-04   3.42760927e-04   7.26308337e-04   4.01183166e-04   1.54514520e-04
  8.19200000e+03   4.79679898e-04   3.68296841e-04   7.06303301e-04   3.85463331e-04   1.58858159e-04
  1.63840000e+04   4.67469150e-04   3.74428882e-04   6.61809996e-04   3.77730882e-04   1.40094334e-04
  3.27680000e+04   4.56288676e-04   3.91396928e-04   6.50405129e-04   4.10686803e-04   1.65736425e-04
  6.55360000e+04   4.31737967e-04   3.80574511e-04   6.03568972e-04   3.70557703e-04   1.13020988e-04
  1.31072000e+05   3.18435432e-04   3.58099813e-04   2.85501246e-04   4.13534121e-04   1.18443045e-04
