# observable  mean  sigma_blocking
y  7.84672659e-06  4.69544746e-04
y2  5.06330825e-01  4.57081778e-04
y3  6.92472630e-05  7.92863376e-04
A  5.74771731e-05  3.25004469e-04
E  5.07580280e-01  1.45756025e-03
