# k  sigma_yc_n1  sigma_yc_n12  sigma_yc_n25  sigma_y2c_n1  sigma_y2c_n12  sigma_y2c_n25  sigma_y3c_n1  sigma_y3c_n12  sigma_y3c_n25  sigma_Ac_n1  sigma_Ac_n12  sigma_Ac_n25
  1.00000000e+00   3.35458778e-04   3.10423729e-04   2.95309449e-04   7.35029010e-04   4.51507789e-04   2.92473626e-04   4.56819966e-03   2.60654727e-03   1.60042802e-03   2.27329393e-03   9.87370420e-04   4.62718182e-04
  2.00000000e+00   3.60003749e-04   3.21814386e-04   2.98032569e-04   7.74110165e-04   4.60770540e-04   2.94181030e-04   4.76973582e-03   2.67625962e-03   1.60734111e-03   2.33306374e-03   9.93534673e-04   4.64094588e-04
  4.00000000e+00   3.89038714e-04   3.35871331e-04   3.00958738e-04   8.21527039e-04   4.73035602e-04   2.95537580e-04   5.01472375e-03   2.76697365e-03   1.61456382e-03   2.40530367e-03   1.00162950e-03   4.64106748e-04
  8.00000000e+00   4.14003869e-04   3.49043654e-04   3.04178674e-04   8.60849755e-04   4.83353295e-04   2.96799962e-04   5.21878297e-03   2.84603810e-03   1.62256871e-03   2.46563029e-03   1.00941355e-03   4.64421859e-04
  1.60000000e+01   4.29177269e-04   3.57410630e-04   3.06360521e-04   8.84333013e-04   4.89419782e-04   2.96938204e-04   5.33790757e-03   2.89084060e-03   1.62432719e-03   2.49796649e-03   1.01240507e-03   4.64466117e-04
  3.20000000e+01   4.39027784e-04   3.62677183e-04   3.07889983e-04   9.00853742e-04   4.93989749e-04   2.97318814e-04   5.42350632e-03   2.92221928e-03   1.63341907e-03   2.52352826e-03   1.01291790e-03   4.65177494e-04
  6.40000000e+01   4.43380288e-04   3.64361911e-04   3.07139367e-04   9.04925660e-04   4.93029543e-04   2.97022228e-04   5.44263131e-03   2.92248455e-03   1.63202790e-03   2.52869744e-03   1.01169888e-03   4.69012121e-04
  1.28000000e+02   4.48026111e-04   3.67463808e-04   3.08103568e-04   9.13748270e-04   4.96141496e-04   2.96386041e-04   5.49109467e-03   2.94705635e-03   1.63725035e-03   2.54899480e-03   1.01634592e-03   4.67376734e-04
  2.56000000e+02   4.50788321e-04   3.69792720e-04   3.10868778e-04   9.21477089e-04   4.99796649e-04   2.97167364e-04   5.55196766e-03   2.97565304e-03   1.65191526e-03   2.58310993e-03   1.02430336e-03   4.73237439e-04
  5.12000000e+02   4.53629961e-04   3.70148523e-04   3.13272930e-04   9.19004082e-04   4.93599728e-04   2.99567066e-04   5.53071224e-03   2.94943522e-03   1.65150919e-03   2.57105728e-03   1.01511763e-03   4.71289802e-04
  1.02400000e+03   4.54537282e-04   3.73135763e-04   3.15238438e-04   9.26626973e-04   4.97558739e-04   3.04545616e-04   5.58066648e-03   2.98239241e-03   1.67780148e-03   2.59187265e-03   1.03302872e-03   4.82182452e-04
  2.04800000e+03   4.42926087e-04   3.65402189e-04   3.12342420e-04   8.97615457e-04   4.92677032e-04   2.98879492e-04   5.43332829e-03   2.95108520e-03   1.63960410e-03   2.54937233e-03   1.05371571e-03   4.81739852e-04
  4.09600000e+03   4.48286458e-04   3.71232356e-04   3.18830477e-04   8.75245245e-04   4.81386040e-04   3.11041877e-04   5.27369719e-03   2.90517820e-03   1.68004264e-03   2.47511547e-03   1.05648595e-03   4.98927898e-04
  8.19200000e+03   4.19099266e-04   3.42811543e-04   3.00984455e-04   8.60193070e-04   4.84133477e-04   3.05531278e-04   5.17204585e-03   2.87311152e-03   1.60408934e-03   2.44171932e-03   1.02866361e-03   4.57587091e-04
  1.63840000e+04   4.01687559e-04   3.11964334e-04   2.64668583e-04   8.78344334e-04   5.23738922e-04   3.26217986e-04   5.40665562e-03   3.07451649e-03   1.70963974e-03   2.65301565e-03   1.15536578e-03   4.80864935e-04
  3.27680000e+04   4.84993874e-04   3.57444021e-04   2.71331737e-04   9.68315549e-04   5.19526601e-04   2.99991316e-04   5.65480790e-03   3.04816715e-03   1.64532122e-03   2.53535828e-03   1.04849411e-03   4.32427502e-04
  6.55360000e+04   5.71985737e-04   4.15512514e-04   2.49196678e-04   1.19546308e-03   6.06364578e-04   3.12954935e-04   7.04397050e-03   3.56688160e-03   1.86249477e-03   3.07276616e-03   1.12027021e-03   4.55362152e-04
  1.31072000e+05   3.79758382e-04   2.95800179e-04   2.55672498e-04   7.32235916e-04   3.07878498e-04   1.28926281e-04   4.42416201e-03   1.70391561e-03   9.20102785e-04   2.16756260e-03   8.65315775e-04   3.40432245e-04
