# n  DE_yc  DE_yc_err  DE_y2c  DE_y2c_err  DE_y3c  DE_y3c_err  DE_Ac  DE_Ac_err
  1.00000000e+00   9.84987041e-01   8.92613701e-04   1.97073301e+00   2.47193104e-03   1.70620302e+00   2.57826517e-03   2.96312678e+00   7.00979529e-03
  2.00000000e+00   9.83307537e-01   9.05917411e-04   1.96682621e+00   2.57180407e-03   1.65828160e+00   2.60799014e-03   2.95787466e+00   7.45630237e-03
  3.00000000e+00   9.81820794e-01   9.24077223e-04   1.96391348e+00   2.70262249e-03   1.61303009e+00   2.67399100e-03   2.95440363e+00   8.01865887e-03
  4.00000000e+00   9.79938323e-01   9.58834506e-04   1.96099173e+00   2.84491735e-03   1.56857837e+00   2.72025889e-03   2.94715358e+00   8.60208074e-03
  5.00000000e+00   9.77701649e-01   1.00544223e-03   1.95584441e+00   3.02035400e-03   1.52430973e+00   2.80390832e-03   2.93769678e+00   9.41663869e-03
  6.00000000e+00   9.75334991e-01   1.04522901e-03   1.95226225e+00   3.22439746e-03   1.48352488e+00   2.90981156e-03   2.93118473e+00   1.03102504e-02
  7.00000000e+00   9.73099676e-01   1.10502955e-03   1.94705922e+00   3.41169416e-03   1.44439752e+00   2.93176402e-03   2.92720970e+00   1.10085786e-02
  8.00000000e+00   9.70078142e-01   1.16628046e-03   1.94251677e+00   3.64372580e-03   1.40649191e+00   3.06994656e-03   2.91757256e+00   1.20410314e-02
  9.00000000e+00   9.67046425e-01   1.23562204e-03   1.93681448e+00   3.99886308e-03   1.37086259e+00   3.18608086e-03   2.91161963e+00   1.34166776e-02
  1.00000000e+01   9.63536910e-01   1.32257179e-03   1.92951812e+00   4.32268996e-03   1.33511736e+00   3.30845222e-03   2.89955720e+00   1.48083548e-02
  1.10000000e+01   9.60025581e-01   1.40879190e-03   1.92102514e+00   4.66565790e-03   1.30060762e+00   3.46328479e-03   2.88312812e+00   1.62273120e-02
  1.20000000e+01   9.55934399e-01   1.51511456e-03   1.91288870e+00   4.98048805e-03   1.26791981e+00   3.50189399e-03   2.86735342e+00   1.77251448e-02
  1.30000000e+01   9.52053131e-01   1.62290733e-03   1.90779330e+00   5.29252092e-03   1.24021561e+00   3.49143068e-03   2.86253712e+00   1.87791030e-02
  1.40000000e+01   9.46863727e-01   1.72361301e-03   1.89810192e+00   5.71584690e-03   1.20950599e+00   3.63612619e-03   2.83452372e+00   2.05272355e-02
  1.50000000e+01   9.41415860e-01   1.83619539e-03   1.88477430e+00   6.11080465e-03   1.17930717e+00   3.71938159e-03   2.80738336e+00   2.29427305e-02
  1.60000000e+01   9.36034749e-01   1.91006181e-03   1.87747109e+00   6.63479937e-03   1.15597603e+00   3.81828320e-03   2.79511185e+00   2.53882056e-02
  1.70000000e+01   9.28803674e-01   2.07101121e-03   1.86356458e+00   7.04736458e-03   1.12999600e+00   3.92198460e-03   2.77795576e+00   2.79482466e-02
  1.80000000e+01   9.21382260e-01   2.20757535e-03   1.85131653e+00   7.62126130e-03   1.10417947e+00   4.05726403e-03   2.74391921e+00   3.01571165e-02
  1.90000000e+01   9.13912912e-01   2.36368528e-03   1.83876351e+00   8.20458827e-03   1.08258286e+00   4.18584591e-03   2.72814626e+00   3.28736314e-02
  2.00000000e+01   9.05404010e-01   2.48905861e-03   1.82176216e+00   8.87050717e-03   1.05831077e+00   4.33859337e-03   2.68127384e+00   3.62636858e-02
  2.10000000e+01   8.94740701e-01   2.66007008e-03   1.79913488e+00   9.54261991e-03   1.03448843e+00   4.53988669e-03   2.65440135e+00   3.96094034e-02
  2.20000000e+01   8.83322116e-01   2.79249752e-03   1.78095459e+00   1.04641791e-02   1.01210779e+00   4.77447006e-03   2.62671557e+00   4.34687237e-02
  2.30000000e+01   8.70837399e-01   2.96597245e-03   1.75579495e+00   1.13020743e-02   9.90582512e-01   4.94058975e-03   2.61828269e+00   4.86637335e-02
  2.40000000e+01   8.58412332e-01   3.13864438e-03   1.74055649e+00   1.22250807e-02   9.72061139e-01   5.20375811e-03   2.64347737e+00   5.35891725e-02
  2.50000000e+01   8.44324286e-01   3.29831105e-03   1.71169038e+00   1.30477944e-02   9.48144675e-01   5.46836340e-03   2.61803799e+00   6.05575839e-02
  2.60000000e+01   8.29206941e-01   3.52099578e-03   1.67599668e+00   1.41278439e-02   9.23594934e-01   5.71480114e-03   2.53168254e+00   6.72441983e-02
  2.70000000e+01   8.12262190e-01   3.67823308e-03   1.64275279e+00   1.51969295e-02   8.97097543e-01   6.04671432e-03   2.49434815e+00   7.69477650e-02
  2.80000000e+01   7.92774857e-01   3.87195966e-03   1.59315721e+00   1.62613775e-02   8.67924611e-01   6.18153216e-03   2.40083944e+00   8.30358465e-02
  2.90000000e+01   7.72022312e-01   4.02931761e-03   1.55334030e+00   1.77214646e-02   8.35943076e-01   6.40198570e-03   2.27691969e+00   9.12822769e-02
  3.00000000e+01   7.52238817e-01   4.22399121e-03   1.50223906e+00   1.90402364e-02   8.08074487e-01   6.51648660e-03   2.22730968e+00   9.71913930e-02
  3.10000000e+01   7.29137621e-01   4.42490070e-03   1.44678478e+00   2.02017050e-02   7.77661726e-01   6.82754149e-03   2.15026864e+00   1.08279129e-01
  3.20000000e+01   7.04280285e-01   4.58859909e-03   1.40001596e+00   2.14374164e-02   7.49554835e-01   7.11187081e-03   2.09026792e+00   1.16619548e-01
  3.30000000e+01   6.77418116e-01   4.76070541e-03   1.33861984e+00   2.25025171e-02   7.13114123e-01   7.14533705e-03   1.90730835e+00   1.20970937e-01
  3.40000000e+01   6.49587897e-01   4.89720485e-03   1.29201435e+00   2.38156908e-02   6.85761445e-01   7.30092201e-03   1.85489055e+00   1.32506210e-01
  3.50000000e+01   6.19236483e-01   5.04065529e-03   1.22925372e+00   2.46758416e-02   6.49136893e-01   7.54898693e-03   1.69248501e+00   1.43943603e-01
  3.60000000e+01   5.86754006e-01   5.14089028e-03   1.16050252e+00   2.55143502e-02   6.10024278e-01   7.87089140e-03   1.47769273e+00   1.51068878e-01
  3.70000000e+01   5.53099805e-01   5.23407905e-03   1.10938163e+00   2.71594277e-02   5.79140188e-01   7.99127797e-03   1.52494714e+00   1.67888447e-01
  3.80000000e+01   5.17800255e-01   5.25347150e-03   1.02826916e+00   2.84405625e-02   5.41242480e-01   7.89248471e-03   1.47266775e+00   1.71945251e-01
  3.90000000e+01   4.78795185e-01   5.24395722e-03   9.46133048e-01   2.93966646e-02   4.99988611e-01   8.08753521e-03   1.34343502e+00   1.84892397e-01
  4.00000000e+01   4.38300274e-01   5.15496846e-03   8.71994138e-01   3.11630946e-02   4.56046883e-01   8.00273632e-03   1.21932021e+00   1.89883827e-01
  4.10000000e+01   3.98098729e-01   4.95383232e-03   7.78195369e-01   3.10627289e-02   4.13955488e-01   7.85572841e-03   1.17330139e+00   2.03314392e-01
  4.20000000e+01   3.55309466e-01   4.73191962e-03   6.93394427e-01   3.09925217e-02   3.72244816e-01   7.87833829e-03   1.08695225e+00   2.11572655e-01
  4.30000000e+01   3.11189310e-01   4.45740620e-03   5.95009496e-01   3.07482360e-02   3.26905650e-01   7.59973111e-03   9.79647117e-01   2.20467526e-01
  4.40000000e+01   2.64901912e-01   4.13671352e-03   4.81529826e-01   2.91247142e-02   2.78274254e-01   7.29360518e-03   8.97349951e-01   2.27320104e-01
  4.50000000e+01   2.20361147e-01   3.68672932e-03   4.37690486e-01   2.90172843e-02   2.34770468e-01   7.02793167e-03   8.23328597e-01   2.27565890e-01
  4.60000000e+01   1.72315229e-01   3.19806155e-03   3.48333933e-01   2.65898771e-02   1.89680643e-01   6.51905281e-03   7.48802325e-01   2.28926721e-01
  4.70000000e+01   1.23731716e-01   2.60201858e-03   2.36310002e-01   2.34973860e-02   1.29751678e-01   5.67065236e-03   4.43216792e-01   2.01991908e-01
  4.80000000e+01   7.47982670e-02   1.88753376e-03   1.31485791e-01   1.86132590e-02   7.66805429e-02   4.51654177e-03   2.38090144e-01   1.62265645e-01
  4.90000000e+01   2.41094370e-02   9.66357590e-04   4.69666892e-02   1.07931685e-02   2.29070968e-02   2.70357761e-03  -3.34340116e-02   9.98390318e-02
