# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58376493e-04   3.36743342e-04   7.72926497e-04   3.36362060e-04   1.41602567e-03
  2.00000000e+00   4.60274231e-04   3.61800599e-04   7.73729123e-04   3.31964554e-04   1.43247969e-03
  4.00000000e+00   4.60747535e-04   3.91366736e-04   7.73598601e-04   3.30970288e-04   1.45017163e-03
  8.00000000e+00   4.61926898e-04   4.16720316e-04   7.74233170e-04   3.30125845e-04   1.46171738e-03
  1.60000000e+01   4.62357343e-04   4.32141917e-04   7.74629571e-04   3.28932808e-04   1.46714736e-03
  3.20000000e+01   4.62027997e-04   4.42127158e-04   7.74217956e-04   3.28276227e-04   1.46878405e-03
  6.40000000e+01   4.62531621e-04   4.46580331e-04   7.76457727e-04   3.31338672e-04   1.45881798e-03
  1.28000000e+02   4.62441845e-04   4.51200098e-04   7.76273036e-04   3.29607048e-04   1.46665816e-03
  2.56000000e+02   4.63727188e-04   4.54055012e-04   7.81505742e-04   3.27818338e-04   1.46555765e-03
  5.12000000e+02   4.69544746e-04   4.57081778e-04   7.92863376e-04   3.25004469e-04   1.45756025e-03
  1.02400000e+03   4.73263322e-04   4.58133857e-04   7.93395699e-04   3.26761870e-04   1.43027697e-03
  2.04800000e+03   4.81429461e-04   4.46463917e-04   8.07710425e-04   3.37591313e-04   1.40690760e-03
  4.09600000e+03   4.44191867e-04   4.51476564e-04   7.40321131e-04   3.13680556e-04   1.46611271e-03
  8.19200000e+03   4.36388175e-04   4.21880023e-04   6.97327951e-04   3.28597698e-04   1.44247144e-03
  1.63840000e+04   4.22637512e-04   4.06215077e-04   6.22400307e-04   3.02263941e-04   1.60397596e-03
  3.27680000e+04   3.22504272e-04   4.90237897e-04   4.83344177e-04   3.50590274e-04   1.65095849e-03
  6.55360000e+04   3.74838409e-04   5.80837095e-04   5.64356036e-04   4.04607862e-04   2.05650833e-03
  1.31072000e+05   4.60694005e-04   3.79030492e-04   6.38632685e-04   5.16146931e-04   2.09921138e-03
