# corr  xi  xi_err  DeltaE  DeltaE_err
yc  2.27636819e+01  1.25470221e-02  8.78592491e-01  4.84267853e-04
y2c  1.08727410e+01  9.03297539e-03  1.83946257e+00  1.52820895e-03
y3c  1.94314562e+01  2.11336260e-02  1.02925894e+00  1.11942065e-03
Ac  7.05559939e+00  1.14325829e-02  2.83462806e+00  4.59310663e-03
