# k  sigma_yc_n1  sigma_yc_n9  sigma_yc_n18  sigma_y2c_n1  sigma_y2c_n9  sigma_y2c_n18  sigma_y3c_n1  sigma_y3c_n9  sigma_y3c_n18  sigma_Ac_n1  sigma_Ac_n9  sigma_Ac_n18
  1.00000000e+00   3.35701491e-04   3.10749796e-04   2.96158408e-04   7.22948891e-04   4.51698225e-04   3.00788926e-04   4.49689965e-03   2.63444831e-03   1.67188495e-03   2.22490897e-03   1.01913207e-03   5.13953190e-04
  2.00000000e+00   3.88564885e-04   3.56223248e-04   3.36698978e-04   8.12158765e-04   4.99676377e-04   3.25276311e-04   4.97957345e-03   2.91541409e-03   1.84133216e-03   2.38951906e-03   1.08243055e-03   5.36108992e-04
  4.00000000e+00   4.30630058e-04   3.90904296e-04   3.66260121e-04   8.82043081e-04   5.34162502e-04   3.41415233e-04   5.34968559e-03   3.11784959e-03   1.95593547e-03   2.50618034e-03   1.11793612e-03   5.47160227e-04
  8.00000000e+00   4.56006747e-04   4.11410895e-04   3.82570775e-04   9.22289128e-04   5.51905232e-04   3.48114929e-04   5.56299922e-03   3.22530742e-03   2.00703836e-03   2.57220951e-03   1.13248985e-03   5.48661812e-04
  1.60000000e+01   4.69001765e-04   4.21746394e-04   3.90869420e-04   9.44770983e-04   5.63473636e-04   3.54549379e-04   5.68654061e-03   3.29535898e-03   2.04957093e-03   2.61497618e-03   1.14824385e-03   5.56190595e-04
  3.20000000e+01   4.75173087e-04   4.26296270e-04   3.94323153e-04   9.55612031e-04   5.68259927e-04   3.56318855e-04   5.73905975e-03   3.32269861e-03   2.06360639e-03   2.62835298e-03   1.15156101e-03   5.56993872e-04
  6.40000000e+01   4.78242895e-04   4.28786762e-04   3.96869233e-04   9.65795673e-04   5.73790335e-04   3.59243872e-04   5.79288995e-03   3.35080891e-03   2.08515373e-03   2.64223987e-03   1.15185310e-03   5.59084147e-04
  1.28000000e+02   4.82244013e-04   4.30998005e-04   3.96465319e-04   9.70137141e-04   5.72587253e-04   3.58094016e-04   5.80755483e-03   3.34955986e-03   2.08100057e-03   2.63623702e-03   1.14712065e-03   5.58274975e-04
  2.56000000e+02   4.81822926e-04   4.29879411e-04   3.97566821e-04   9.65513160e-04   5.71213900e-04   3.57729168e-04   5.76874435e-03   3.33175421e-03   2.06859903e-03   2.61944084e-03   1.13830751e-03   5.54969919e-04
  5.12000000e+02   4.84418839e-04   4.31413046e-04   3.92822689e-04   9.68523509e-04   5.73400762e-04   3.58263179e-04   5.79650655e-03   3.35749163e-03   2.09333647e-03   2.62486836e-03   1.14170473e-03   5.61564703e-04
  1.02400000e+03   4.95071803e-04   4.45274653e-04   4.05210672e-04   9.92102744e-04   5.91036352e-04   3.65201700e-04   5.93595622e-03   3.45389617e-03   2.16162834e-03   2.67034774e-03   1.16003156e-03   5.76233002e-04
  2.04800000e+03   4.81332413e-04   4.37533276e-04   3.99340153e-04   9.61923375e-04   5.81473442e-04   3.61166861e-04   5.79108178e-03   3.40513115e-03   2.12497542e-03   2.63036799e-03   1.17307730e-03   5.70426639e-04
  4.09600000e+03   5.04101320e-04   4.56164533e-04   4.16462165e-04   9.79443482e-04   5.89982274e-04   3.66494065e-04   5.77642804e-03   3.40676492e-03   2.14099051e-03   2.53766910e-03   1.11912624e-03   5.43948000e-04
  8.19200000e+03   4.66809550e-04   4.20421983e-04   3.91409223e-04   9.19383052e-04   5.75800339e-04   3.69763138e-04   5.40595173e-03   3.26092208e-03   2.06733128e-03   2.37777122e-03   1.11280130e-03   5.51821390e-04
  1.63840000e+04   5.22364392e-04   4.80489571e-04   4.50567686e-04   1.03697143e-03   6.29386088e-04   4.09246234e-04   6.14293729e-03   3.60842010e-03   2.28552685e-03   2.71546344e-03   1.20822203e-03   5.49856027e-04
  3.27680000e+04   5.53168483e-04   5.02077936e-04   4.19243771e-04   1.08062207e-03   6.29523373e-04   3.76631990e-04   6.22914872e-03   3.60758427e-03   2.19568811e-03   2.65251256e-03   1.12223904e-03   5.81970266e-04
  6.55360000e+04   5.69475382e-04   5.23469884e-04   4.43026043e-04   1.25731200e-03   7.01603631e-04   3.99392871e-04   6.99102645e-03   4.04786887e-03   2.43233802e-03   2.77231468e-03   1.17907957e-03   5.96324238e-04
  1.31072000e+05   4.09625530e-04   3.62292517e-04   3.33910803e-04   1.08162566e-03   4.98429073e-04   2.29727115e-04   6.34409787e-03   3.33022157e-03   1.72759490e-03   2.72810949e-03   1.03210392e-03   4.70598473e-04
