# observable  mean  sigma_blocking
y  4.19435973e-04  8.21713185e-04
y2  5.06553519e-01  4.88365596e-04
y3  -2.53347055e-06  1.31432471e-03
A  -6.31687431e-04  4.09640487e-04
E  5.06078228e-01  1.22882188e-03
