# k  sigma_y  sigma_y2  sigma_y3  sigma_A  sigma_E
  1.00000000e+00   4.58493890e-04   3.37908859e-04   7.75663375e-04   3.38825036e-04   1.21727934e-03
  2.00000000e+00   5.68450926e-04   3.91238477e-04   9.40621802e-04   3.67693541e-04   1.22895546e-03
  4.00000000e+00   6.73000074e-04   4.33737826e-04   1.09598902e-03   3.88016818e-04   1.23922431e-03
  8.00000000e+00   7.46767149e-04   4.59368732e-04   1.20460897e-03   3.97819555e-04   1.24610970e-03
  1.60000000e+01   7.86879978e-04   4.72478185e-04   1.26370581e-03   4.02967194e-04   1.24680491e-03
  3.20000000e+01   8.03946474e-04   4.78703181e-04   1.28683904e-03   4.04095513e-04   1.25106196e-03
  6.40000000e+01   8.08938928e-04   4.81731024e-04   1.29704038e-03   4.06264370e-04   1.25762942e-03
  1.28000000e+02   8.05550644e-04   4.85891005e-04   1.29340628e-03   4.09809547e-04   1.25972433e-03
  2.56000000e+02   8.05918140e-04   4.85474971e-04   1.29566508e-03   4.12809864e-04   1.24642883e-03
  5.12000000e+02   8.21713185e-04   4.88365596e-04   1.31432471e-03   4.09640487e-04   1.22882188e-03
  1.02400000e+03   8.28188273e-04   4.98615876e-04   1.34191535e-03   4.18518241e-04   1.21636749e-03
  2.04800000e+03   8.08730920e-04   4.84581200e-04   1.33884782e-03   4.23293314e-04   1.23039881e-03
  4.09600000e+03   8.37679067e-04   5.07487048e-04   1.40319673e-03   4.38131893e-04   1.22717121e-03
  8.19200000e+03   8.33900050e-04   4.69726570e-04   1.38126156e-03   4.45011130e-04   1.32383660e-03
  1.63840000e+04   8.05761473e-04   5.23008104e-04   1.25797819e-03   4.46818015e-04   1.13836743e-03
  3.27680000e+04   7.66823768e-04   5.53312210e-04   1.27057596e-03   4.77803531e-04   1.33756641e-03
  6.55360000e+04   7.21115053e-04   5.67602844e-04   1.32385709e-03   5.11166992e-04   1.74518827e-03
  1.31072000e+05   7.31899518e-04   4.16580822e-04   1.60519656e-03   6.30575741e-04   1.75837037e-03
