# n  yc_mean  yc_err  y2c_mean  y2c_err  y3c_mean  y3c_err  Ac_mean  Ac_err
  1.00000000e+00   4.74343571e-01   4.87292402e-04   4.50754805e-01   1.01436609e-03   1.74030110e+00   6.13401057e-03   6.42803346e-01   2.87024099e-03
  2.00000000e+00   4.44244501e-01   4.84900464e-04   3.95432427e-01   9.55065179e-04   1.55616692e+00   5.72339661e-03   5.28221524e-01   2.59858518e-03
  3.00000000e+00   4.16109883e-01   4.81440074e-04   3.46985262e-01   8.97376205e-04   1.39722771e+00   5.33714011e-03   4.34315970e-01   2.34668532e-03
  4.00000000e+00   3.89825752e-01   4.76898286e-04   3.04604305e-01   8.41894626e-04   1.25954081e+00   4.97708235e-03   3.57359153e-01   2.11564614e-03
  5.00000000e+00   3.65268165e-01   4.71468667e-04   2.67494984e-01   7.89618069e-04   1.13965326e+00   4.64518666e-03   2.94219765e-01   1.90728074e-03
  6.00000000e+00   3.42332369e-01   4.65673217e-04   2.34998769e-01   7.40293924e-04   1.03477078e+00   4.33742009e-03   2.42386363e-01   1.71802903e-03
  7.00000000e+00   3.20919673e-01   4.59462956e-04   2.06581548e-01   6.94048926e-04   9.42806153e-01   4.05737075e-03   1.99901459e-01   1.55136855e-03
  8.00000000e+00   3.00941079e-01   4.53318941e-04   1.81713878e-01   6.51064664e-04   8.61752276e-01   3.79713095e-03   1.65035215e-01   1.40009515e-03
  9.00000000e+00   2.82309032e-01   4.47527456e-04   1.59970174e-01   6.11313401e-04   7.90128513e-01   3.55962884e-03   1.36447034e-01   1.26622313e-03
  1.00000000e+01   2.64926774e-01   4.42335929e-04   1.40929106e-01   5.75374454e-04   7.26325648e-01   3.34661274e-03   1.12822909e-01   1.14835919e-03
  1.10000000e+01   2.48706137e-01   4.37120129e-04   1.24229870e-01   5.42289123e-04   6.69311063e-01   3.15456050e-03   9.33369726e-02   1.04777021e-03
  1.20000000e+01   2.33584712e-01   4.32325235e-04   1.09610297e-01   5.11356291e-04   6.18348620e-01   2.97613968e-03   7.73592901e-02   9.57646968e-04
  1.30000000e+01   2.19491848e-01   4.28435539e-04   9.67910778e-02   4.83501135e-04   5.72497689e-01   2.81665766e-03   6.41606042e-02   8.81778052e-04
  1.40000000e+01   2.06379568e-01   4.24404451e-04   8.55657911e-02   4.57595553e-04   5.31221026e-01   2.66742208e-03   5.32991807e-02   8.11188487e-04
  1.50000000e+01   1.94173719e-01   4.20896448e-04   7.57275213e-02   4.34565716e-04   4.93968226e-01   2.53258161e-03   4.43584228e-02   7.48060206e-04
  1.60000000e+01   1.82834627e-01   4.18074389e-04   6.71355252e-02   4.13896824e-04   4.60443677e-01   2.41387817e-03   3.70915453e-02   6.94346356e-04
  1.70000000e+01   1.72310607e-01   4.15942632e-04   5.96293756e-02   3.94631987e-04   4.30159146e-01   2.30690964e-03   3.11115334e-02   6.46711548e-04
  1.80000000e+01   1.62553261e-01   4.14724459e-04   5.30939019e-02   3.77031808e-04   4.02750698e-01   2.21111398e-03   2.62121015e-02   6.05304755e-04
  1.90000000e+01   1.53516650e-01   4.14296262e-04   4.73767242e-02   3.60841620e-04   3.77829254e-01   2.12565138e-03   2.21391504e-02   5.68048846e-04
  2.00000000e+01   1.45165931e-01   4.15020162e-04   4.23818699e-02   3.47142888e-04   3.55132560e-01   2.05229317e-03   1.87088424e-02   5.34584012e-04
  2.10000000e+01   1.37471502e-01   4.16655225e-04   3.80207927e-02   3.36215134e-04   3.34458654e-01   1.98818224e-03   1.58317988e-02   5.04968037e-04
  2.20000000e+01   1.30378970e-01   4.19223032e-04   3.41983519e-02   3.26110703e-04   3.15648489e-01   1.92853497e-03   1.34177363e-02   4.76888361e-04
  2.30000000e+01   1.23877657e-01   4.22752187e-04   3.08607299e-02   3.17775179e-04   2.98603704e-01   1.87847979e-03   1.14075726e-02   4.52493187e-04
  2.40000000e+01   1.17928566e-01   4.27031325e-04   2.79794068e-02   3.13177304e-04   2.83251375e-01   1.84015848e-03   9.78316576e-03   4.31789587e-04
  2.50000000e+01   1.12512386e-01   4.32122368e-04   2.54684887e-02   3.10200051e-04   2.69416986e-01   1.80949765e-03   8.49474289e-03   4.15471340e-04
  2.60000000e+01   1.07590293e-01   4.37059473e-04   2.32980794e-02   3.07826509e-04   2.57013378e-01   1.78251625e-03   7.43578261e-03   4.00498441e-04
  2.70000000e+01   1.03160550e-01   4.42481512e-04   2.14537239e-02   3.06743763e-04   2.45917760e-01   1.76107733e-03   6.56763876e-03   3.89641756e-04
  2.80000000e+01   9.91894656e-02   4.48287822e-04   1.98566588e-02   3.07022489e-04   2.36025879e-01   1.74555523e-03   5.86670779e-03   3.80845123e-04
  2.90000000e+01   9.56693351e-02   4.54465204e-04   1.84904841e-02   3.10011120e-04   2.27278754e-01   1.73850824e-03   5.31468407e-03   3.75897768e-04
  3.00000000e+01   9.25914798e-02   4.61018518e-04   1.73391618e-02   3.13818895e-04   2.19677469e-01   1.73898546e-03   4.87492768e-03   3.74263662e-04
  3.10000000e+01   8.99221533e-02   4.67045178e-04   1.63768463e-02   3.18082050e-04   2.13091712e-01   1.74040977e-03   4.51822901e-03   3.76095968e-04
  3.20000000e+01   8.76586590e-02   4.73348542e-04   1.55785196e-02   3.22657382e-04   2.07563966e-01   1.74649286e-03   4.28710649e-03   3.80683607e-04
  3.30000000e+01   8.57918342e-02   4.79494511e-04   1.49345660e-02   3.28110219e-04   2.03071924e-01   1.75588951e-03   4.11133693e-03   3.86451287e-04
  3.40000000e+01   8.43028641e-02   4.85070090e-04   1.44327170e-02   3.33139376e-04   1.99467064e-01   1.76453199e-03   3.96215064e-03   3.94847700e-04
  3.50000000e+01   8.31883326e-02   4.89819900e-04   1.40308977e-02   3.37963694e-04   1.96754848e-01   1.77669485e-03   3.85895215e-03   4.06022666e-04
  3.60000000e+01   8.24419646e-02   4.93335514e-04   1.37772386e-02   3.41469416e-04   1.95006969e-01   1.78573888e-03   3.82108942e-03   4.15060773e-04
  3.70000000e+01   8.20696162e-02   4.95133177e-04   1.36721032e-02   3.43678972e-04   1.94194463e-01   1.79057352e-03   3.80152595e-03   4.21111486e-04
