# corr  xi  xi_err  DeltaE  DeltaE_err
yc  1.70533817e+01  1.30847254e-02  8.79590937e-01  6.74892880e-04
y2c  8.21176681e+00  9.00440511e-03  1.82664710e+00  2.00296365e-03
y3c  1.43267479e+01  2.12070897e-02  1.04699267e+00  1.54980513e-03
Ac  5.32888093e+00  1.13156696e-02  2.81484991e+00  5.97722337e-03
